Mark,Competitor,DOB,Nat,Pos,Venue,Date,WIND
9.58,Usain BOLT,21 AUG 1986,JAM,1,"Olympiastadion, Berlin (GER)",16 AUG 2009,0.9
9.63,Usain BOLT,21 AUG 1986,JAM,1,"Olympic Stadium, London (GBR)",05 AUG 2012,1.5
9.69,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Beijing (CHN)",16 AUG 2008,0.0
9.69,Tyson GAY,09 AUG 1982,USA,1,Shanghai (CHN),20 SEP 2009,2.0
9.69,Yohan BLAKE,26 DEC 1989,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,-0.1
9.71,Tyson GAY,09 AUG 1982,USA,2,"Olympiastadion, Berlin (GER)",16 AUG 2009,0.9
9.72,Usain BOLT,21 AUG 1986,JAM,1f1,"Icahn Stadium, New York, NY (USA)",31 MAY 2008,1.7
9.72,Asafa POWELL,23 NOV 1982,JAM,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,0.2
9.74,Asafa POWELL,23 NOV 1982,JAM,1h2,"Stadio Guidobaldi, Rieti (ITA)",09 SEP 2007,1.7
9.74,Justin GATLIN,10 FEB 1982,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,0.9
9.75,Yohan BLAKE,26 DEC 1989,JAM,1,Kingston (JAM),29 JUN 2012,1.1
9.75,Yohan BLAKE,26 DEC 1989,JAM,2,"Olympic Stadium, London (GBR)",05 AUG 2012,1.5
9.75,Justin GATLIN,10 FEB 1982,USA,1f1,"Stadio Olimpico, Roma (ITA)",04 JUN 2015,0.9
9.75,Justin GATLIN,10 FEB 1982,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",09 JUL 2015,1.4
9.76,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Kingston (JAM)",03 MAY 2008,1.8
9.76,Usain BOLT,21 AUG 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1.3
9.76,Usain BOLT,21 AUG 1986,JAM,1,"Stadio Olimpico, Roma (ITA)",31 MAY 2012,-0.1
9.76,Yohan BLAKE,26 DEC 1989,JAM,1,"Letzigrund, Zürich (SUI)",30 AUG 2012,1.4
9.76,Christian COLEMAN,06 MAR 1996,USA,1,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,0.6
9.76,Trayvon BROMELL,10 JUL 1995,USA,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1.2
9.76,Fred KERLEY,07 MAY 1995,USA,1sf1,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1.4
9.77,Asafa POWELL,23 NOV 1982,JAM,1,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1.6
9.77,Asafa POWELL,23 NOV 1982,JAM,1,"International Stadium, Gateshead (GBR)",11 JUN 2006,1.5
9.77,Asafa POWELL,23 NOV 1982,JAM,1f1,Zürich (SUI),18 AUG 2006,1.0
9.77,Tyson GAY,09 AUG 1982,USA,1qf1,"Eugene, OR (USA)",28 JUN 2008,1.6
9.77,Usain BOLT,21 AUG 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,-1.3
9.77,Asafa POWELL,23 NOV 1982,JAM,1h1,Rieti (ITA),07 SEP 2008,0.9
9.77,Tyson GAY,09 AUG 1982,USA,1,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,0.4
9.77,Usain BOLT,21 AUG 1986,JAM,1,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,-0.3
9.77,Justin GATLIN,10 FEB 1982,USA,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,0.6
9.77,Justin GATLIN,10 FEB 1982,USA,1sf2,"National Stadium, Beijing (CHN)",23 AUG 2015,0.9
9.77,Trayvon BROMELL,10 JUL 1995,USA,1f2,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1.5
9.77,Ferdinand OMANYALA,02 JAN 1996,KEN,2,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1.2
9.77,Fred KERLEY,07 MAY 1995,USA,1,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1.8
9.78,Asafa POWELL,23 NOV 1982,JAM,1,"Stadio Guidobaldi, Rieti (ITA)",09 SEP 2007,0.0
9.78,Tyson GAY,09 AUG 1982,USA,1,"Crystal Palace, London (GBR)",13 AUG 2010,-0.4
9.78,Nesta CARTER,11 OCT 1985,JAM,1,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,0.9
9.78,Asafa POWELL,23 NOV 1982,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2011,1.0
9.78,Justin GATLIN,10 FEB 1982,USA,1,"Stade Louis II, Monaco (MON)",17 JUL 2015,-0.3
9.79,Maurice GREENE,23 JUL 1974,USA,1f3,Athina (GRE),16 JUN 1999,0.1
9.79,Usain BOLT,21 AUG 1986,JAM,1,Paris-St-Denis (FRA),17 JUL 2009,-0.2
9.79,Tyson GAY,09 AUG 1982,USA,1,"Boudewijnstadion, Bruxelles (BEL)",27 AUG 2010,0.1
9.79,Tyson GAY,09 AUG 1982,USA,1h1,"Clermont, FL (USA)",04 JUN 2011,1.1
9.79,Usain BOLT,21 AUG 1986,JAM,1,"Bislett Stadion, Oslo (NOR)",07 JUN 2012,0.6
9.79,Justin GATLIN,10 FEB 1982,USA,3,"Olympic Stadium, London (GBR)",05 AUG 2012,1.5
9.79,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Beijing (CHN)",23 AUG 2015,-0.5
9.79,Christian COLEMAN,06 MAR 1996,USA,1,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,-0.3
9.79,Fred KERLEY,07 MAY 1995,USA,1h2,"Hayward Field, Eugene, OR (USA)",15 JUL 2022,0.1
9.8,Maurice GREENE,23 JUL 1974,USA,1,"La Cartuja, Sevilla (ESP)",22 AUG 1999,0.2
9.8,Steve MULLINGS,29 NOV 1982,JAM,1,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1.3
9.8,Justin GATLIN,10 FEB 1982,USA,1,"Hayward Field, Eugene, OR (USA)",24 JUN 2012,1.8
9.8,Usain BOLT,21 AUG 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,0.6
9.8,Justin GATLIN,10 FEB 1982,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,0.1
9.8,Justin GATLIN,10 FEB 1982,USA,2,"National Stadium, Beijing (CHN)",23 AUG 2015,-0.5
9.8,Justin GATLIN,10 FEB 1982,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1.6
9.8,Trayvon BROMELL,10 JUL 1995,USA,1,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,0.8
9.8,Lamont Marcell JACOBS,26 SEP 1994,ITA,1,"National Stadium, Tokyo (JPN)",01 AUG 2021,0.1
9.81,Usain BOLT,21 AUG 1986,JAM,1,"Letzigrund, Zürich (SUI)",28 AUG 2009,0.0
9.81,Asafa POWELL,23 NOV 1982,JAM,1,Paris (FRA),04 JUL 2015,1.3
