Mark,Competitor,DOB,Nat,Pos,Venue,Date
26:24,Rhonex KIPRUTO,12 OCT 1999,KEN,1,Valencia (ESP),12 JAN 2020
26:33,Berihu AREGAWI,28 FEB 2001,ETH,1,Laredo (ESP),11 MAR 2023
26:38,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,Valencia (ESP),01 DEC 2019
26:43,Rhonex KIPRUTO,12 OCT 1999,KEN,1,Herzogenaurach (GER),12 SEP 2021
26:44,Leonard Patrick KOMON,10 JAN 1988,KEN,1,Utrecht (NED),26 SEP 2010
26:46,Rhonex KIPRUTO,12 OCT 1999,KEN,1,Praha (CZE),08 SEP 2018
26:49,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,Cannes (FRA),06 MAR 2022
26:49,Sabastian Kimaru SAWE,16 MAR 1995,KEN,1,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",29 APR 2023
26:50,Kibiwott KANDIE,20 JUN 1996,KEN,1,Herzogenaurach (GER),30 APR 2022
26:51,Kibiwott KANDIE,20 JUN 1996,KEN,1,Genève (SUI),03 OCT 2021
26:51,Nicholas KIPKORIR,29 SEP 1998,KEN,1,Brasov (ROU),25 SEP 2022
26:53,Kibiwott KANDIE,20 JUN 1996,KEN,2,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",29 APR 2023
26:54,Sabastian Kimaru SAWE,16 MAR 1995,KEN,2,Herzogenaurach (GER),30 APR 2022
26:54,Nicholas KIPKORIR,29 SEP 1998,KEN,3,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",29 APR 2023
26:55,Weldon LANGAT,24 FEB 1998,KEN,2,Brasov (ROU),25 SEP 2022
26:55,Isaac Kibet NDIEMA,05 FEB 1999,KEN,3,Brasov (ROU),25 SEP 2022
26:55,Weldon LANGAT,24 FEB 1998,KEN,1,Valencia (ESP),15 JAN 2023
26:56,Tadese WORKU,20 JAN 2002,ETH,2,Herzogenaurach (GER),12 SEP 2021
26:56,Rodrigue KWIZERA,10 OCT 1999,BDI,3,Herzogenaurach (GER),30 APR 2022
26:57,Felix KIPKOECH,01 FEB 1998,KEN,2,Genève (SUI),03 OCT 2021
26:57,Charles Kipkurui LANGAT,28 APR 1996,KEN,2,Valencia (ESP),15 JAN 2023
