Mark,Competitor,DOB,Nat,Pos,Venue,Date,WIND
12.8,Aries MERRITT,24 JUL 1985,USA,1,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,0.3
12.81,Grant HOLLOWAY,19 NOV 1997,USA,1sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1.8
12.84,Devon ALLEN,12 DEC 1994,USA,1,"Icahn Stadium, New York, NY (USA)",12 JUN 2022,1.6
12.87,Dayron ROBLES,19 NOV 1986,CUB,1,Ostrava (CZE),12 JUN 2008,0.9
12.88,Xiang LIU,13 JUL 1983,CHN,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1.1
12.88,Dayron ROBLES,19 NOV 1986,CUB,1,Paris (FRA),18 JUL 2008,0.5
12.89,David OLIVER,24 APR 1982,USA,1,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,0.5
12.9,Dominique ARNOLD,14 SEP 1973,USA,2f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1.1
12.9,David OLIVER,24 APR 1982,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1.6
12.9,Omar MCLEOD,25 APR 1994,JAM,1,Kingston (JAM),24 JUN 2017,0.7
12.91,Colin JACKSON,18 FEB 1967,GBR,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,0.5
12.91,Xiang LIU,13 JUL 1983,CHN,1,"Olympic Stadium, Athina (GRE)",27 AUG 2004,0.3
12.91,Dayron ROBLES,19 NOV 1986,CUB,1,Stockholm (SWE),22 JUL 2008,0.2
12.92,Roger KINGDOM,26 AUG 1962,USA,1f1,"Letzigrund, Zürich (SUI)",16 AUG 1989,-0.1
12.92,Allen JOHNSON,01 MAR 1971,USA,1,"Atlanta, GA (USA)",23 JUN 1996,0.9
12.92,Allen JOHNSON,01 MAR 1971,USA,1,Bruxelles (BEL),23 AUG 1996,0.2
12.92,Xiang LIU,13 JUL 1983,CHN,1,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1.5
12.92,Dayron ROBLES,19 NOV 1986,CUB,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",23 SEP 2007,0.0
12.92,Aries MERRITT,24 JUL 1985,USA,1,"Olympic Stadium, London (GBR)",08 AUG 2012,-0.3
