Mark,Competitor,DOB,Nat,Pos,Venue,Date
1:16:36,Yusuke SUZUKI,02 JAN 1988,JPN,1,Nomi (JPN),15 MAR 2015
1:16:43,Sergey MOROZOV,21 MAR 1988,RUS,1,Saransk (RUS),08 JUN 2008
1:16:54,Kaihua WANG,16 FEB 1994,CHN,1,Huangshan (CHN),20 MAR 2021
1:17:02,Yohann DINIZ,01 JAN 1978,FRA,1,Arles (FRA),08 MAR 2015
1:17:15,Toshikazu YAMANISHI,15 FEB 1996,JPN,1,Nomi (JPN),17 MAR 2019
1:17:16,Vladimir KANAYKIN,21 MAR 1985,RUS,1,Saransk (RUS),29 SEP 2007
1:17:20,Toshikazu YAMANISHI,15 FEB 1996,JPN,1,Kobe (JPN),21 FEB 2021
1:17:21,Jefferson PÉREZ,01 JUL 1974,ECU,1,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003
1:17:22,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Turku (FIN),28 APR 2002
1:17:23,Vladimir STANKIN,02 JAN 1974,RUS,1,"Adler, Sochi (RUS)",08 FEB 2004
1:17:24,Yohann DINIZ,01 JAN 1978,FRA,1,Lugano (SUI),15 MAR 2015
1:17:24,Masatora KAWANO,23 OCT 1998,JPN,2,Nomi (JPN),17 MAR 2019
1:17:25,Sergey SHIROBOKOV,11 FEB 1999,RUS,1,Cheboksary (RUS),09 JUN 2018
1:17:25,Koki IKEDA,03 MAY 1998,JPN,3,Nomi (JPN),17 MAR 2019
1:17:26,Eiki TAKAHASHI,19 NOV 1992,JPN,1,Kobe (JPN),18 FEB 2018
1:17:33,Nathan DEAKES,17 AUG 1977,AUS,1,Cixi City (CHN),23 APR 2005
1:17:36,Vladimir KANAYKIN,21 MAR 1985,RUS,1,Cheboksary (RUS),17 JUN 2007
1:17:36,Zhen WANG,24 AUG 1991,CHN,1,Taicang (CHN),30 MAR 2012
1:17:36,Toshikazu YAMANISHI,15 FEB 1996,JPN,1,Kobe (JPN),16 FEB 2020
1:17:38,Valeriy BORCHIN,11 SEP 1986,RUS,1,"Adler, Sochi (RUS)",28 FEB 2009
1:17:38,Jun ZHANG,20 JUL 1998,CHN,1,Taicang (CHN),08 APR 2023
1:17:39,Zelin CAI,11 APR 1991,CHN,2,Huangshan (CHN),20 MAR 2021
1:17:39,Jun ZHANG,20 JUL 1998,CHN,3,Huangshan (CHN),20 MAR 2021
1:17:40,Ding CHEN,05 AUG 1992,CHN,2,Taicang (CHN),30 MAR 2012
1:17:41,Hongjun ZHU,18 AUG 1983,CHN,2,Cixi City (CHN),23 APR 2005
1:17:41,Toshikazu YAMANISHI,15 FEB 1996,JPN,2,Kobe (JPN),18 FEB 2018
1:17:41,Toshikazu YAMANISHI,15 FEB 1996,JPN,1,La Coruña (ESP),08 JUN 2019
1:17:43,Yohann DINIZ,01 JAN 1978,FRA,1,Lugano (SUI),18 MAR 2012
1:17:45,Massimo STANO,27 FEB 1992,ITA,2,La Coruña (ESP),08 JUN 2019
1:17:46,Julio MARTÍNEZ,27 SEP 1973,GUA,1,Eisenhüttenstadt (GER),08 MAY 1999
1:17:46,Roman RASSKAZOV,28 APR 1979,RUS,1,Moskva (RUS),19 MAY 2000
1:17:46,Daisuke MATSUNAGA,24 MAR 1995,JPN,3,Kobe (JPN),18 FEB 2018
1:17:47,Yusuke SUZUKI,02 JAN 1988,JPN,4,Nomi (JPN),17 MAR 2019
1:17:47,Vasiliy MIZINOV,29 DEC 1997,ANA,1,Sochi (RUS),31 JAN 2022
1:17:52,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,La Coruña (ESP),04 JUN 2005
1:17:52,Isamu FUJISAWA,12 OCT 1987,JPN,5,Nomi (JPN),17 MAR 2019
1:17:52,Lihong CUI,13 MAY 1999,CHN,4,Huangshan (CHN),20 MAR 2021
1:17:53,Zhide CUI,11 JAN 1983,CHN,3,Cixi City (CHN),23 APR 2005
1:17:54,Kaihua WANG,16 FEB 1994,CHN,1,Huangshan (CHN),04 MAR 2017
1:17:54,Yusuke SUZUKI,02 JAN 1988,JPN,3,La Coruña (ESP),08 JUN 2019
