Mark,Competitor,DOB,Nat,Pos,Venue,Date
7:20.67,Daniel KOMEN,17 MAY 1976,KEN,1,Rieti (ITA),01 SEP 1996
7:23.09,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Bruxelles (BEL),03 SEP 1999
7:24.00,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,,"Stade Charléty, Paris (FRA)",09 JUN 2023
7:25.02,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,"Stade Louis II, Monaco (MON)",18 AUG 2000
7:25.09,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Bruxelles (BEL),28 AUG 1998
7:25.11,Noureddine MORCELI,28 FEB 1970,ALG,1,"Stade Louis II, Monaco (MON)",02 AUG 1994
7:25.16,Daniel KOMEN,17 MAY 1976,KEN,1,Monaco (MON),10 AUG 1996
7:25.54,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Stade Louis II, Monaco (MON)",08 AUG 1998
7:25.79,Kenenisa BEKELE,13 JUN 1982,ETH,1,Stockholm (SWE),07 AUG 2007
7:25.87,Daniel KOMEN,17 MAY 1976,KEN,1,Bruxelles (BEL),23 AUG 1996
7:25.93,Thierry NDIKUMWENAYO,26 MAR 1997,BDI,1,"Stade Louis II, Monaco (MON)",10 AUG 2022
7:26.02,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Bruxelles (BEL),22 AUG 1997
7:26.03,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Helsinki (FIN),10 JUN 1999
7:26.18,Lamecha GIRMA,26 NOV 2000,ETH,1,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2023
7:26.25,Yomif KEJELCHA,01 AUG 1997,ETH,1,"Bislett Stadion, Oslo (NOR)",01 JUL 2021
7:26.62,Mohammed MOURHIT,10 OCT 1970,BEL,2,"Stade Louis II, Monaco (MON)",18 AUG 2000
7:26.64,Jacob KIPLIMO,14 NOV 2000,UGA,1,"Stadio Olimpico, Roma (ITA)",17 SEP 2020
7:26.69,Kenenisa BEKELE,13 JUN 1982,ETH,1,"EIS Don Valley Stadium, Sheffield (GBR)",15 JUL 2007
7:26.81,Berihu AREGAWI,28 FEB 2001,ETH,2,"Stade Louis II, Monaco (MON)",10 AUG 2022
7:27.05,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,2,"Stadio Olimpico, Roma (ITA)",17 SEP 2020
7:27.16,Selemon BAREGA,20 JAN 2000,ETH,2,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2023
7:27.18,Moses KIPTANUI,01 OCT 1970,KEN,1,"Stade Louis II, Monaco (MON)",25 JUL 1995
7:27.26,Yenew ALAMIREW,27 MAY 1990,ETH,1,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011
7:27.42,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Bislett Stadion, Oslo (NOR)",09 JUL 1998
7:27.50,Noureddine MORCELI,28 FEB 1970,ALG,1,Bruxelles (BEL),25 AUG 1995
7:27.55,Edwin Cheruiyot SOI,03 MAR 1986,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011
7:27.59,Luke KIPKOSGEI,27 NOV 1975,KEN,2,"Stade Louis II, Monaco (MON)",08 AUG 1998
7:27.61,Berihu AREGAWI,28 FEB 2001,ETH,3,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2023
7:27.64,Mohamed KATIR,17 FEB 1998,ESP,1,"International Stadium, Gateshead (GBR)",13 JUL 2021
7:27.66,Eliud KIPCHOGE,05 NOV 1984,KEN,3,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011
7:27.67,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,Paris (FRA),23 JUN 2000
7:27.72,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004
7:27.75,Tom NYARIKI,27 SEP 1971,KEN,2,Monaco (MON),10 AUG 1996
