Mark,Competitor,DOB,Nat,Pos,Venue,Date
7:02.43,Kenya,,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006
7:02.82,United States,,USA,2,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006
7:03.89,Great Britain & NI,,GBR,1,London (GBR),30 AUG 1982
7:04.70,South Africa,,RSA,1,Stuttgart (GER),06 JUN 1999
7:04.84,United States,,USA,1,"T. Robinson Stadium, Nassau (BAH)",02 MAY 2015
7:04.89,St Patrick's School,,KEN,2,Stuttgart (GER),06 JUN 1999
7:06.12,Benelux,,INT,3,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006
7:06.5h,Santa Monica Track Club,,USA,1,"Walnut, CA (USA)",26 APR 1986
7:06.66,Qatar,,QAT,4,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006
7:07.1h,Kericho,,KEN,1,Nairobi (KEN),07 MAR 2014
7:07.40,Soviet Union,,URS,1,Moskva (URS),05 AUG 1984
7:08.1h,Soviet Union,,URS,1,Podolsk (URS),12 AUG 1978
7:08.3h,Defence Forces,,KEN,2,Nairobi (KEN),07 MAR 2014
7:08.30,Kenya,,KEN,1,Nairobi (KEN),26 APR 2014
7:08.40,Kenya,,KEN,1,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
7:08.6h,Federal Republic of Germany,,FRG,1,Wiesbaden (GER),13 AUG 1966
7:08.69,Poland,,POL,2,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
7:08.96,Arizona State,,USA,1,"Tempe, AZ (USA)",07 APR 1984
7:09.06,United States,,USA,3,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
7:09.1h,Kenya,,KEN,1,London (GBR),05 SEP 1970
7:09.1h,Kenya,,KEN,1,Nairobi (KEN),10 APR 2015
7:09.21,Kenya B,,KEN,2,Nairobi (KEN),26 APR 2014
7:09.6h,Eldoret,,KEN,3,Nairobi (KEN),07 MAR 2014
7:09.92,Kenya C,,KEN,3,Nairobi (KEN),26 APR 2014
7:09.98,Poland,,POL,2,"T. Robinson Stadium, Nassau (BAH)",02 MAY 2015
7:10.03,Santa Monica Track Club,,INT,2,"Tempe, AZ (USA)",07 APR 1984
7:10.14,Bud Light Track America,,USA,3,"Tempe, AZ (USA)",07 APR 1984
