Mark,Competitor,DOB,Nat,Pos,Venue,Date
18:05.49,Hatem GHOULA,07 JUN 1973,TUN,1,Tunis (TUN),01 MAY 1997
18:12.52,Declan TINGAY,06 FEB 1999,AUS,1,"Lakeside Stadium, Melbourne (AUS)",05 MAR 2023
18:17.22,Robert KORZENIOWSKI,30 JUL 1968,POL,1,Reims (FRA),03 JUL 1992
18:18.01,Yohann DINIZ,01 JAN 1978,FRA,1,Villeneuve d'Ascq (FRA),27 JUN 2008
18:20.14,Koki IKEDA,03 MAY 1998,JPN,1,"Juntendo University Stadium, Inzai (JPN)",25 OCT 2020
18:22.41,Yohann DINIZ,01 JAN 1978,FRA,1,Tourcoing (FRA),10 MAY 2015
18:24.50,Declan TINGAY,06 FEB 1999,AUS,1,"Lakeside Stadium, Melbourne (AUS)",26 FEB 2022
18:26.70,Yuta KOGA,15 JUL 1999,JPN,2,"Juntendo University Stadium, Inzai (JPN)",25 OCT 2020
18:27.34,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Villeneuve d'Ascq (FRA),08 JUN 2007
18:28.26,Masatora KAWANO,23 OCT 1998,JPN,3,"Juntendo University Stadium, Inzai (JPN)",25 OCT 2020
18:28.80,Roman MRÁZEK,21 JAN 1962,TCH,1,Bratislava (TCH),14 JUN 1989
18:30.43,Maurizio DAMILANO,06 APR 1957,ITA,1,Caserta (ITA),11 JUN 1992
18:31.76,Frants KOSTYUKEVICH,04 APR 1963,BLR,1,Villeneuve d'Ascq (FRA),02 JUL 1993
18:32.46,Erik TYSSE,04 DEC 1980,NOR,1,Askim (NOR),10 AUG 2007
18:32.56,Perseus KARLSTRÖM,02 MAY 1990,SWE,1,Melbourne (AUS),08 MAR 2019
18:33.16,João VIEIRA,20 FEB 1976,POR,1,Rio Maior (POR),10 MAY 2000
18:33.32,Yohann DINIZ,01 JAN 1978,FRA,1,Reims (FRA),05 MAY 2013
18:34.88,Toshikazu YAMANISHI,15 FEB 1996,JPN,1,"Prefectural Stadium, Kumagaya (JPN)",19 SEP 2020
18:35.10,Yohann DINIZ,01 JAN 1978,FRA,1,Reims (FRA),17 MAY 2009
18:35.10,Yohann DINIZ,01 JAN 1978,FRA,1,Reims (FRA),09 MAY 2010
18:35.36,Eder SÁNCHEZ,21 MAY 1986,MEX,1,Katowice (POL),02 JUL 2014
18:35.87,Robert KORZENIOWSKI,30 JUL 1968,POL,2,Villeneuve d'Ascq (FRA),02 JUL 1993
18:35.96,Yohann DINIZ,01 JAN 1978,FRA,1,Reims (FRA),05 JUL 2011
18:36.84,Jozef PRIBILINEC,06 JUL 1960,SVK,3,Villeneuve d'Ascq (FRA),02 JUL 1993
18:37.17,Erik TYSSE,04 DEC 1980,NOR,1,Lillehammer (NOR),31 JUL 2009
18:37.22,Yusuke SUZUKI,02 JAN 1988,JPN,1,Kitami (JPN),12 JUL 2015
18:37.60,Eiki TAKAHASHI,19 NOV 1992,JPN,2,Kitami (JPN),12 JUL 2015
18:37.84,Daisuke MATSUNAGA,24 MAR 1995,JPN,1,Abashiri (JPN),04 JUL 2018
18:38.12,Yohann DINIZ,01 JAN 1978,FRA,1,Villeneuve d'Ascq (FRA),30 JUN 2009
18:38.42,Yohann DINIZ,01 JAN 1978,FRA,1,Compiégne (FRA),08 MAY 2011
18:38.45,Ivano BRUGNETTI,01 SEP 1976,ITA,1,Milano (ITA),25 JUN 2009
18:38.97,Dane BIRD-SMITH,15 JUL 1992,AUS,1,"Albert Park, Melbourne (AUS)",05 MAR 2016
18:39.08,Evan DUNFEE,28 SEP 1990,CAN,1,"Swangard Stadium, Burnaby (CAN)",18 JUN 2021
18:39.10,Gabriel BORDIER,08 OCT 1997,FRA,1,"Complexe Sportif, Segre (FRA)",22 MAY 2022
18:39.28,Ever Jair PALMA OLIVARES,18 MAR 1992,MEX,2,Katowice (POL),02 JUL 2014
18:39.65,Álvaro MARTÍN,18 JUN 1994,ESP,1,Gijón (ESP),25 JUL 2015
18:40.11,Eder SÁNCHEZ,21 MAY 1986,MEX,1,Sydney (AUS),28 FEB 2009
18:40.50,Erik TYSSE,04 DEC 1980,NOR,1,Trondheim (NOR),19 JUL 2008
18:40.62,Koki IKEDA,03 MAY 1998,JPN,1,"Honjo Athletic Stadium, Kitakyushu (JPN)",21 MAY 2022
18:41.23,Callum WILKINSON,14 MAR 1997,GBR,1,"Alexander Stadium, Birmingham (GBR)",25 AUG 2019
18:41.44,Ilya MARKOV,19 JUN 1972,RUS,1,Spala (POL),10 JUN 2000
18:41.83,Jared TALLENT,17 OCT 1984,AUS,2,Sydney (AUS),28 FEB 2009
18:42.0h,Jozef PRIBILINEC,06 JUL 1960,SVK,1,Banská Bystrica (TCH),30 AUG 1985
18:42.50,Giovanni DE BENEDICTIS,08 JAN 1968,ITA,1,Formia (ITA),08 JUL 1991
18:42.66,Ralf KOWALSKY,22 MAR 1962,GDR,1,Berlin (GER),09 JUN 1984
18:42.96,Yohann DINIZ,01 JAN 1978,FRA,1,"Stade Raymond Petit, Tomblaine (FRA)",14 JUN 2016
18:43.17,Veli-Matti PARTANEN,28 OCT 1991,FIN,1,Espoo (FIN),13 JUN 2018
18:43.28,Tom BOSWORTH,17 JAN 1990,GBR,1,Birmingham (GBR),02 JUL 2017
18:44.35,Robert KORZENIOWSKI,30 JUL 1968,POL,1,Bydgoszcz (POL),15 JUN 2001
18:44.79,Kevin CAMPION,23 MAY 1988,FRA,1,Reims (FRA),28 JUN 2013
18:44.99,Walter ARENA,30 MAY 1964,ITA,2,Formia (ITA),08 JUL 1991
18:45.19,Nathan DEAKES,17 AUG 1977,AUS,1,Melbourne (AUS),09 MAR 2006
18:45.64,Inaki GOMEZ,16 JAN 1988,CAN,1f1,Sydney (AUS),18 FEB 2012
18:45.98,Yohann DINIZ,01 JAN 1978,FRA,1,"Stade Raymond Petit, Tomblaine (FRA)",24 JUN 2011
18:46.08,Jefferson PÉREZ,01 JUL 1974,ECU,1,Xalapa (MEX),05 MAY 2007
18:46.47,Dane BIRD-SMITH,15 JUL 1992,AUS,1,Brisbane (AUS),06 FEB 2016
18:46.95,Miguel Ángel LÓPEZ,03 JUL 1988,ESP,1,Murcia (ESP),26 JUN 2016
18:47.10,Jiří MALYSA,14 AUG 1966,CZE,2,Bydgoszcz (POL),15 JUN 2001
18:47.45,Yohann DINIZ,01 JAN 1978,FRA,1,Reims (FRA),04 JUL 2012
18:47.53,Yohann DINIZ,01 JAN 1978,FRA,1,Reims (FRA),14 JUL 2009
18:47.77,Jared TALLENT,17 OCT 1984,AUS,2f1,Sydney (AUS),18 FEB 2012
18:47.98,Roland WIESER,06 MAY 1956,GDR,2,Berlin (GER),09 JUN 1984
18:48.30,Aigars FADEJEVS,27 DEC 1975,LAT,1,Lapinlahti (FIN),21 JUN 1998
18:48.76,Juan Manuel MOLINA,15 MAR 1979,ESP,1,Cieza (ESP),09 FEB 2008
18:49.10,Zhen WANG,24 AUG 1991,CHN,1,Fossano (ITA),13 SEP 2014
18:49.66,Yohann DINIZ,01 JAN 1978,FRA,1,Reims (FRA),30 JUN 2010
18:49.86,Benjamin THORNE,19 MAR 1993,CAN,1,Burnaby (CAN),25 MAR 2017
18:49.92,Declan TINGAY,06 FEB 1999,AUS,1,"WA Sports Centre, Perth (AUS)",17 DEC 2021
18:50.20,Alberto AMEZCUA,10 MAY 1992,ESP,2,Gijón (ESP),25 JUL 2015
18:50.27,Yohann DINIZ,01 JAN 1978,FRA,2,Villeneuve d'Ascq (FRA),08 JUN 2007
18:51.25,Eiki TAKAHASHI,19 NOV 1992,JPN,2,"Prefectural Stadium, Kumagaya (JPN)",19 SEP 2020
18:51.39,Nick A'HERN,06 JAN 1969,AUS,1,North Shore City (NZL),20 FEB 1998
18:51.39,Jared TALLENT,17 OCT 1984,AUS,1,Sydney (AUS),27 FEB 2010
