Mark,Competitor,DOB,Nat,Pos,Venue,Date,WIND
18.29,Jonathan EDWARDS,10 MAY 1966,GBR,1.0,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,1.3
18.21,Christian TAYLOR,18 JUN 1990,USA,1.0,"National Stadium, Beijing (CHN)",27 AUG 2015,0.2
18.16,Jonathan EDWARDS,10 MAY 1966,GBR,,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,1.3
18.14,Will CLAYE,13 JUN 1991,USA,1.0,"Long Beach, CA (USA)",29 JUN 2019,0.4
18.11,Christian TAYLOR,18 JUN 1990,USA,1.0,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,0.8
18.09,Kenny HARRISON,13 FEB 1965,USA,1.0,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,-0.4
18.08,Pedro PICHARDO,30 JUN 1993,CUB,1.0,La Habana (CUB),28 MAY 2015,0.0
18.06,Pedro PICHARDO,30 JUN 1993,CUB,1.0,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,0.8
18.06,Christian TAYLOR,18 JUN 1990,USA,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",09 JUL 2015,1.1
18.06,Will CLAYE,13 JUN 1991,USA,1.0,"Stade Charléty, Paris (FRA)",24 AUG 2019,0.4
18.04,Teddy TAMGHO,15 JUN 1989,FRA,1.0,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,0.3
18.04,Christian TAYLOR,18 JUN 1990,USA,2.0,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,0.8
18.01,Jonathan EDWARDS,10 MAY 1966,GBR,1.0,"Bislett Stadion, Oslo (NOR)",09 JUL 1998,0.4
18.0,Jonathan EDWARDS,10 MAY 1966,GBR,1.0,London (GBR),27 AUG 1995,1.3
17.99,Jonathan EDWARDS,10 MAY 1966,GBR,1.0,"Népstadion, Budapest (HUN)",23 AUG 1998,0.5
17.99,Pedro PICHARDO,30 JUN 1993,CUB,2.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",09 JUL 2015,1.8
17.98,Jonathan EDWARDS,10 MAY 1966,GBR,1.0,"Helmántico, Salamanca (ESP)",18 JUL 1995,1.8
17.98,Teddy TAMGHO,15 JUN 1989,FRA,1.0,"Icahn Stadium, New York, NY (USA)",12 JUN 2010,1.2
17.98,Pedro PICHARDO,30 JUN 1993,POR,1.0,"National Stadium, Tokyo (JPN)",05 AUG 2021,0.0
