Mark,Competitor,DOB,Nat,Pos,Venue,Date
57:31,Jacob KIPLIMO,14 NOV 2000,UGA,1,Lisboa (POR),21 NOV 2021
57:32,Kibiwott KANDIE,20 JUN 1996,KEN,1,Valencia (ESP),06 DEC 2020
57:37,Jacob KIPLIMO,14 NOV 2000,UGA,2,Valencia (ESP),06 DEC 2020
57:49,Rhonex KIPRUTO,12 OCT 1999,KEN,3,Valencia (ESP),06 DEC 2020
57:56,Jacob KIPLIMO,14 NOV 2000,UGA,1,Ras Al Khaimah (UAE),19 FEB 2022
57:59,Alexander Mutiso MUNYAO,10 SEP 1996,KEN,4,Valencia (ESP),06 DEC 2020
58:01,Geoffrey KAMWOROR,22 NOV 1992,KEN,1,København (DEN),15 SEP 2019
58:07,Abel KIPCHUMBA,03 FEB 1994,KEN,1,Valencia (ESP),24 OCT 2021
58:09,Rhonex KIPRUTO,12 OCT 1999,KEN,2,Valencia (ESP),24 OCT 2021
58:10,Kibiwott KANDIE,20 JUN 1996,KEN,1,Valencia (ESP),23 OCT 2022
58:11,Philemon KIPLIMO,10 OCT 1998,KEN,5,Valencia (ESP),06 DEC 2020
58:23,Zersenay TADESE,01 JAN 1982,ERI,1,Lisboa (POR),21 MAR 2010
58:26,Daniel MATEIKO,04 AUG 1998,KEN,3,Valencia (ESP),24 OCT 2021
58:28,Kennedy KIMUTAI,03 JUN 1999,KEN,4,Valencia (ESP),24 OCT 2021
58:30,Rodgers KWEMOI,03 MAR 1998,KEN,2,Ras Al Khaimah (UAE),19 FEB 2022
58:31,Zersenay TADESE,01 JAN 1982,ERI,1,Lisboa (POR),20 MAR 2011
58:32,Yomif KEJELCHA,01 AUG 1997,ETH,2,Valencia (ESP),23 OCT 2022
58:33,Samuel Kamau WANJIRU,10 NOV 1986,KEN,1,The Hague (NED),17 MAR 2007
58:33,Jemal Yimer MEKONNEN,11 SEP 1996,ETH,1,Valencia (ESP),28 OCT 2018
58:34,Philemon KIPLIMO,10 OCT 1998,KEN,5,Valencia (ESP),24 OCT 2021
58:35,Keneth Kiprop RENJU,01 JUL 1996,KEN,3,Ras Al Khaimah (UAE),19 FEB 2022
58:36,Seifu TURA,19 JUN 1997,ETH,4,Ras Al Khaimah (UAE),19 FEB 2022
58:38,Kibiwott KANDIE,20 JUN 1996,KEN,1,Praha (CZE),05 SEP 2020
58:40,Abraham CHEROBEN,11 OCT 1992,BRN,1,København (DEN),17 SEP 2017
58:40,Muktar EDRIS,14 JAN 1994,ETH,6,Valencia (ESP),24 OCT 2021
58:40,Amedework WALELEGN,11 MAR 1999,ETH,5,Ras Al Khaimah (UAE),19 FEB 2022
58:40,Daniel MATEIKO,04 AUG 1998,KEN,3,Valencia (ESP),23 OCT 2022
58:42,Bedan KAROKI,21 AUG 1990,KEN,1,Ras Al Khaimah (UAE),09 FEB 2018
58:42,Eric Kiprono KIPTANUI,19 APR 1990,KEN,1,Berlin (GER),08 APR 2018
58:42,Stephen KIPROP,08 SEP 1999,KEN,1,Ras Al Khaimah (UAE),08 FEB 2019
58:42,Kelvin KIPTUM,02 DEC 1999,KEN,6,Valencia (ESP),06 DEC 2020
58:43,Mathew KIMELI,01 APR 1998,KEN,7,Valencia (ESP),24 OCT 2021
58:44,Abadi HADIS,06 NOV 1997,ETH,2,Valencia (ESP),28 OCT 2018
