Mark,Competitor,DOB,Nat,Pos,Venue,Date
86.74,Yuriy SEDYKH,11 JUN 1955,URS,1,"Neckarstadion, Stuttgart (GER)",30 AUG 1986
86.66,Yuriy SEDYKH,11 JUN 1955,URS,1,Tallinn (EST),22 JUN 1986
86.34,Yuriy SEDYKH,11 JUN 1955,URS,1,Cork (IRL),03 JUL 1984
86.04,Sergey LITVINOV,23 JAN 1958,URS,1,Dresden (GER),03 JUL 1986
85.74,Sergey LITVINOV,23 JAN 1958,URS,2,"Neckarstadion, Stuttgart (GER)",30 AUG 1986
85.68,Yuriy SEDYKH,11 JUN 1955,URS,1,Budapest (HUN),11 AUG 1986
85.6,Yuriy SEDYKH,11 JUN 1955,URS,1,London (GBR),13 JUL 1984
85.6,Yuriy SEDYKH,11 JUN 1955,URS,1,Moskva (URS),17 AUG 1984
85.2,Sergey LITVINOV,23 JAN 1958,URS,2,Cork (IRL),03 JUL 1984
85.14,Sergey LITVINOV,23 JAN 1958,URS,1,London (GBR),11 JUL 1986
85.14,Yuriy SEDYKH,11 JUN 1955,URS,1,Moskva (URS),04 SEP 1988
85.02,Yuriy SEDYKH,11 JUN 1955,URS,1,Budapest (HUN),20 AUG 1984
84.92,Yuriy SEDYKH,11 JUN 1955,URS,2,Dresden (GER),03 JUL 1986
84.9,Vadim DEVYATOVSKIY,20 MAR 1977,BLR,1,Minsk (BLR),21 JUL 2005
84.88,Sergey LITVINOV,23 JAN 1958,URS,1,"Stadio Olimpico, Roma (ITA)",10 SEP 1986
84.86,Koji MUROFUSHI,08 OCT 1974,JPN,1,"Stadion Juliska, Praha (CZE)",29 JUN 2003
84.8,Sergey LITVINOV,23 JAN 1958,URS,1,"Olympic Stadium, Jamsil, Seoul (KOR)",26 SEP 1988
84.72,Yuriy SEDYKH,11 JUN 1955,URS,1,Moskva (URS),09 JUL 1986
84.64,Sergey LITVINOV,23 JAN 1958,URS,2,Moskva (URS),09 JUL 1986
84.62,Igor ASTAPKOVICH,04 JAN 1963,BLR,1,Sevilla (ESP),06 JUN 1992
84.6,Yuriy SEDYKH,11 JUN 1955,URS,1,Tokyo (JPN),14 SEP 1984
84.58,Yuriy SEDYKH,11 JUN 1955,URS,1,Leningrad (URS),08 JUN 1986
84.51,Ivan TIKHON,24 JUL 1976,BLR,1,Grodno (BLR),09 JUL 2008
84.48,Igor NIKULIN,14 AUG 1960,URS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990
84.46,Yuriy SEDYKH,11 JUN 1955,URS,1,Vladivostok (URS),14 SEP 1988
84.46,Ivan TIKHON,24 JUL 1976,BLR,1,Minsk (BLR),07 MAY 2004
84.4,Jüri TAMM,05 FEB 1957,URS,1,Banská Bystrica (TCH),09 SEP 1984
84.36,Sergey LITVINOV,23 JAN 1958,URS,2,Tallinn (EST),22 JUN 1986
84.32,Ivan TIKHON,24 JUL 1976,BLR,1,Minsk (BLR),08 AUG 2003
84.26,Yuriy SEDYKH,11 JUN 1955,URS,1,Nice (FRA),15 JUL 1986
84.26,Igor ASTAPKOVICH,04 JAN 1963,URS,1,Reims (FRA),03 JUL 1991
84.19,Adrián ANNUS,28 JUN 1973,HUN,1,Szombathely (HUN),10 AUG 2003
84.16,Jüri TAMM,05 FEB 1957,URS,1,Kharkov (URS),19 JUN 1988
84.14,Sergey LITVINOV,23 JAN 1958,URS,1,Moskva (URS),21 JUN 1983
84.14,Yuriy SEDYKH,11 JUN 1955,URS,1,Helsinki (FIN),07 JUL 1986
84.14,Igor ASTAPKOVICH,04 JAN 1963,URS,1,"Poljud Stadion, Split (CRO)",31 AUG 1990
84.12,Igor ASTAPKOVICH,04 JAN 1963,URS,1,"Seattle, WA (USA)",26 JUL 1990
84.08,Jüri TAMM,05 FEB 1957,URS,1,Budapest (HUN),04 AUG 1985
84.04,Sergey LITVINOV,23 JAN 1958,URS,1,Adler (URS),01 JUN 1988
84.02,Sergey LITVINOV,23 JAN 1958,URS,2,Helsinki (FIN),07 JUL 1986
83.98,Sergey LITVINOV,23 JAN 1958,URS,1,Moskva (URS),04 JUN 1982
83.97,Ivan TIKHON,24 JUL 1976,BLR,1,Minsk (BLR),10 JUL 2004
83.96,Igor NIKULIN,14 AUG 1960,URS,1,Nice (FRA),10 JUL 1990
83.93,Paweł FAJDEK,04 JUN 1989,POL,1,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",09 AUG 2015
83.9,Yuriy SEDYKH,11 JUN 1955,URS,1,Roma (ITA),31 AUG 1984
83.78,Igor NIKULIN,14 AUG 1960,URS,1,Leningrad (URS),18 JUN 1988
