Mark,Competitor,DOB,Nat,Pos,Venue,Date
23.56,Ryan CROUSER,18 DEC 1992,USA,1,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023
23.37,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",18 JUN 2021
23.3,Ryan CROUSER,18 DEC 1992,USA,1,"National Stadium, Tokyo (JPN)",05 AUG 2021
23.23,Joe KOVACS,28 JUN 1989,USA,1,"Sechseläutenplatz, Zürich (SUI)",07 SEP 2022
23.15,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021
23.12,Randy BARNES,16 JUN 1966,USA,1,"Westwood, CA (USA)",20 MAY 1990
23.12,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",24 JUN 2022
23.1,Randy BARNES,16 JUN 1966,USA,1,San José (USA),26 MAY 1990
23.06,Ulf TIMMERMANN,01 NOV 1962,GDR,1,Chania (GRE),22 MAY 1988
23.02,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2022
23.01,Ryan CROUSER,18 DEC 1992,USA,1,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",22 MAY 2021
22.94,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",17 JUL 2022
22.92,Ryan CROUSER,18 DEC 1992,USA,1q1,"Hayward Field, Eugene, OR (USA)",18 JUN 2021
22.91,Alessandro ANDREI,03 JAN 1959,ITA,1,Viareggio (ITA),12 AUG 1987
22.91,Joe KOVACS,28 JUN 1989,USA,1,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
22.91,Ryan CROUSER,18 DEC 1992,USA,1,"Life University Track & Field Stadium, Marietta, GA (USA)",18 JUL 2020
22.9,Ryan CROUSER,18 DEC 1992,USA,2,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
22.9,Tom WALSH,01 MAR 1992,NZL,3,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
22.89,Joe KOVACS,28 JUN 1989,USA,2,"Hayward Field, Eugene, OR (USA)",17 JUL 2022
22.89,Joe KOVACS,28 JUN 1989,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",08 AUG 2022
22.87,Joe KOVACS,28 JUN 1989,USA,2,"Hayward Field, Eugene, OR (USA)",24 JUN 2022
22.86,Brian OLDFIELD,01 JUN 1945,USA,1,"El Paso, TX (USA)",10 MAY 1975
22.84,Alessandro ANDREI,03 JAN 1959,ITA,,Viareggio (ITA),12 AUG 1987
22.84,Ryan CROUSER,18 DEC 1992,USA,1,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2021
22.81,Ryan CROUSER,18 DEC 1992,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021
22.75,Werner GÜNTHÖR,01 JUN 1961,SUI,1,Bern (SUI),23 AUG 1988
22.75,Ryan CROUSER,18 DEC 1992,USA,1,"Estadio Francisco Montaner, Ponce (PUR)",12 MAY 2022
22.74,Ryan CROUSER,18 DEC 1992,USA,1,"Long Beach, CA (USA)",20 APR 2019
22.74,Ryan CROUSER,18 DEC 1992,USA,1,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2020
22.74,Ryan CROUSER,18 DEC 1992,USA,2,"Sechseläutenplatz, Zürich (SUI)",07 SEP 2022
22.72,Alessandro ANDREI,03 JAN 1959,ITA,,Viareggio (ITA),12 AUG 1987
22.72,Ryan CROUSER,18 DEC 1992,USA,1,"Drake Stadium, Des Moines, IA (USA)",29 AUG 2020
22.72,Joe KOVACS,28 JUN 1989,USA,1,"Jesse Owens Stadium, Columbus, OH (USA)",01 MAY 2021
22.7,Ryan CROUSER,18 DEC 1992,USA,1,"Stadion Śląski, Chorzów (POL)",06 SEP 2020
22.69,Ryan CROUSER,18 DEC 1992,USA,1,"John McDonnell Field, Fayetteville, AR (USA)",07 MAY 2021
22.69,Joe KOVACS,28 JUN 1989,USA,1,"Vanderbilt Track, Nashville, TN (USA)",29 APR 2023
22.67,Kevin TOTH,29 DEC 1967,USA,1,"Lawrence, KS (USA)",19 APR 2003
