Mark,Competitor,DOB,Nat,Pos,Venue,Date
2:01:09,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),25 SEP 2022
2:01:25,Kelvin KIPTUM,02 DEC 1999,KEN,1,London (GBR),23 APR 2023
2:01:39,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),16 SEP 2018
2:01:41,Kenenisa BEKELE,13 JUN 1982,ETH,1,Berlin (GER),29 SEP 2019
2:01:53,Kelvin KIPTUM,02 DEC 1999,KEN,1,Valencia (ESP),04 DEC 2022
2:02:37,Eliud KIPCHOGE,05 NOV 1984,KEN,1,London (GBR),28 APR 2019
2:02:40,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Tokyo (JPN),06 MAR 2022
2:02:48,Birhanu LEGESE,11 SEP 1994,ETH,2,Berlin (GER),29 SEP 2019
2:02:55,Mosinet GEREMEW,12 FEB 1992,ETH,2,London (GBR),28 APR 2019
2:02:57,Dennis KIMETTO,22 APR 1984,KEN,1,Berlin (GER),28 SEP 2014
2:02:57,Titus EKIRU,02 JAN 1992,KEN,1,Milano (ITA),16 MAY 2021
2:03:00,Evans CHEBET,10 NOV 1988,KEN,1,Valencia (ESP),06 DEC 2020
2:03:00,Gabriel Gerald GEAY,10 SEP 1996,TAN,2,Valencia (ESP),04 DEC 2022
2:03:03,Kenenisa BEKELE,13 JUN 1982,ETH,1,Berlin (GER),25 SEP 2016
2:03:04,Lawrence CHERONO,07 AUG 1988,KEN,2,Valencia (ESP),06 DEC 2020
2:03:05,Eliud KIPCHOGE,05 NOV 1984,KEN,1,London (GBR),24 APR 2016
2:03:13,Emmanuel MUTAI,12 OCT 1984,KEN,2,Berlin (GER),28 SEP 2014
2:03:13,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,2,Berlin (GER),25 SEP 2016
2:03:13,Amos KIPRUTO,16 SEP 1992,KEN,2,Tokyo (JPN),06 MAR 2022
2:03:16,Mule WASIHUN,20 OCT 1993,ETH,3,London (GBR),28 APR 2019
2:03:16,Birhanu LEGESE,11 SEP 1994,ETH,3,Valencia (ESP),06 DEC 2020
2:03:23,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Berlin (GER),29 SEP 2013
2:03:29,Alexander Mutiso MUNYAO,10 SEP 1996,KEN,3,Valencia (ESP),04 DEC 2022
2:03:30,Amos KIPRUTO,16 SEP 1992,KEN,4,Valencia (ESP),06 DEC 2020
2:03:32,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),24 SEP 2017
2:03:34,Getaneh MOLLA,10 JAN 1994,ETH,1,Dubai (UAE),25 JAN 2019
2:03:36,Sisay LEMMA,12 DEC 1990,ETH,3,Berlin (GER),29 SEP 2019
2:03:36,Bashir ABDI,10 FEB 1989,BEL,1,Rotterdam (NED),24 OCT 2021
2:03:38,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1,Berlin (GER),25 SEP 2011
2:03:39,Tamirat TOLA,11 AUG 1991,ETH,1,Amsterdam (NED),17 OCT 2021
2:03:40,Herpasa NEGASA,11 SEP 1993,ETH,2,Dubai (UAE),25 JAN 2019
2:03:40,Tamirat TOLA,11 AUG 1991,ETH,4,Valencia (ESP),04 DEC 2022
2:03:42,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Frankfurt (GER),30 OCT 2011
2:03:45,Dennis KIMETTO,22 APR 1984,KEN,1,"Chicago, IL (USA)",13 OCT 2013
2:03:46,Guye Idemo ADOLA,20 OCT 1990,ETH,2,Berlin (GER),24 SEP 2017
2:03:47,Bashir ABDI,10 FEB 1989,BEL,1,Rotterdam (NED),16 APR 2023
2:03:50,Timothy KIPLAGAT,1993,KEN,2,Rotterdam (NED),16 APR 2023
2:03:51,Stanley Kipleting BIWOTT,21 APR 1986,KEN,2,London (GBR),24 APR 2016
2:03:51,Kinde ATANAW,15 APR 1993,ETH,1,Valencia (ESP),01 DEC 2019
2:03:52,Emmanuel MUTAI,12 OCT 1984,KEN,2,"Chicago, IL (USA)",13 OCT 2013
2:03:55,Reuben Kiprop KIPYEGO,21 AUG 1996,KEN,2,Milano (ITA),16 MAY 2021
2:03:58,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Tokyo (JPN),26 FEB 2017
2:03:59,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Berlin (GER),28 SEP 2008
2:04:00,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),27 SEP 2015
2:04:00,Mosinet GEREMEW,12 FEB 1992,ETH,1,Dubai (UAE),26 JAN 2018
2:04:01,Sisay LEMMA,12 DEC 1990,ETH,1,London (GBR),03 OCT 2021
2:04:02,Leul GEBRESILASE,20 SEP 1992,ETH,2,Dubai (UAE),26 JAN 2018
2:04:04,Marius KIPSEREM,17 MAY 1988,KEN,2,Rotterdam (NED),24 OCT 2021
2:04:05,Eliud KIPCHOGE,05 NOV 1984,KEN,2,Berlin (GER),29 SEP 2013
2:04:06,Tamirat TOLA,11 AUG 1991,ETH,3,Dubai (UAE),26 JAN 2018
2:04:06,Asefa MENGSTU,22 JAN 1988,ETH,4,Dubai (UAE),26 JAN 2018
2:04:06,Lawrence CHERONO,07 AUG 1988,KEN,1,Amsterdam (NED),21 OCT 2018
2:04:08,Sisay LEMMA,12 DEC 1990,ETH,5,Dubai (UAE),26 JAN 2018
2:04:09,Bernard Kiprop KOECH,31 JAN 1988,KEN,2,Amsterdam (NED),17 OCT 2021
2:04:09,Bernard Kiprop KOECH,31 JAN 1988,KEN,1,Hamburg (GER),23 APR 2023
2:04:11,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Chicago, IL (USA)",12 OCT 2014
2:04:11,Tamirat TOLA,11 AUG 1991,ETH,1,Dubai (UAE),20 JAN 2017
2:04:11,Marius KIPSEREM,17 MAY 1988,KEN,1,Rotterdam (NED),07 APR 2019
2:04:12,Reuben Kiprop KIPYEGO,21 AUG 1996,KEN,5,Valencia (ESP),06 DEC 2020
2:04:12,Leul GEBRESILASE,20 SEP 1992,ETH,3,Amsterdam (NED),17 OCT 2021
2:04:14,Tamirat TOLA,11 AUG 1991,ETH,3,Tokyo (JPN),06 MAR 2022
2:04:15,Geoffrey MUTAI,07 OCT 1981,KEN,1,Berlin (GER),30 SEP 2012
2:04:15,Birhanu LEGESE,11 SEP 1994,ETH,6,Dubai (UAE),26 JAN 2018
2:04:15,Birhanu LEGESE,11 SEP 1994,ETH,1,Tokyo (JPN),01 MAR 2020
2:04:16,Dennis KIMETTO,22 APR 1984,KEN,2,Berlin (GER),30 SEP 2012
2:04:16,Kaan Kigen ÖZBILEN,15 JAN 1986,TUR,2,Valencia (ESP),01 DEC 2019
2:04:17,Eliud KIPCHOGE,05 NOV 1984,KEN,1,London (GBR),22 APR 2018
2:04:17,Barnabas KIPTUM,08 DEC 1986,KEN,3,Milano (ITA),16 MAY 2021
2:04:21,Elisha ROTICH,12 APR 1990,KEN,1,Paris (FRA),17 OCT 2021
