Mark,Competitor,DOB,Nat,Pos,Venue,Date,WIND
8.95,Mike POWELL,10 NOV 1963,USA,1,"National Stadium, Tokyo (JPN)",30 AUG 1991,0.3
8.9,Bob BEAMON,29 AUG 1946,USA,1,"Estadio Olímpico, Ciudad de México (MEX)",18 OCT 1968,2.0
8.87,Carl LEWIS,01 JUL 1961,USA,,"National Stadium, Tokyo (JPN)",30 AUG 1991,-0.2
8.86,Robert EMMIYAN,16 FEB 1965,URS,1,Tsakhadzor (ARM),22 MAY 1987,1.9
8.84,Carl LEWIS,01 JUL 1961,USA,,"National Stadium, Tokyo (JPN)",30 AUG 1991,1.7
8.79,Carl LEWIS,01 JUL 1961,USA,1,"Indianapolis, IN (USA)",19 JUN 1983,1.9
8.76,Carl LEWIS,01 JUL 1961,USA,1,"Indianapolis, IN (USA)",24 JUL 1982,1.0
8.76,Carl LEWIS,01 JUL 1961,USA,1,"Indianapolis, IN (USA)",18 JUL 1988,0.8
8.74,Larry MYRICKS,10 MAR 1956,USA,2,"Indianapolis, IN (USA)",18 JUL 1988,1.4
8.74,Erick WALDER,05 NOV 1971,USA,1,"El Paso, TX (USA)",02 APR 1994,2.0
8.74,Dwight PHILLIPS,01 OCT 1977,USA,1,"Eugene, OR (USA)",07 JUN 2009,-1.2
8.73,Irving SALADINO,23 JAN 1983,PAN,1,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1.2
8.72,Carl LEWIS,01 JUL 1961,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",26 SEP 1988,-0.2
8.71,Carl LEWIS,01 JUL 1961,USA,1,"Westwood, CA (USA)",13 MAY 1984,-0.4
8.71,Carl LEWIS,01 JUL 1961,USA,1,"Los Angeles, CA (USA)",19 JUN 1984,0.1
8.71,Iván PEDROSO,17 DEC 1972,CUB,1,"Helmántico, Salamanca (ESP)",18 JUL 1995,1.9
8.7,Larry MYRICKS,10 MAR 1956,USA,1,"Houston, TX (USA)",17 JUN 1989,0.9
8.7,Mike POWELL,10 NOV 1963,USA,1,Salamanca (ESP),27 JUL 1993,0.7
8.7,Iván PEDROSO,17 DEC 1972,CUB,1,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1.6
8.69,Tajay GAYLE,02 AUG 1996,JAM,1,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,0.5
8.68,Carl LEWIS,01 JUL 1961,USA,1q2,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,1.0
8.68,Iván PEDROSO,17 DEC 1972,CUB,1,Lisboa (POR),17 JUN 1995,1.6
8.68,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,Bad Langensalza (GER),30 JUN 2018,1.7
8.67,Carl LEWIS,01 JUL 1961,USA,1,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,0.4
8.67,Carl LEWIS,01 JUL 1961,USA,1,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,-0.7
8.66,Larry MYRICKS,10 MAR 1956,USA,1,Tokyo (JPN),23 SEP 1987,1.0
8.66,Mike POWELL,10 NOV 1963,USA,1,Villeneuve d'Ascq (FRA),28 JUN 1990,0.9
8.66,Mike POWELL,10 NOV 1963,USA,1,Villeneuve d'Ascq (FRA),29 JUN 1990,0.9
8.66,Iván PEDROSO,17 DEC 1972,CUB,1,Linz (AUT),22 AUG 1995,0.3
8.66,Louis TSATOUMAS,12 FEB 1982,GRE,1,Kalamata (GRE),02 JUN 2007,1.6
8.66,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,"Mestský Stadion, Ostrava (CZE)",13 JUN 2018,1.0
8.65,Carl LEWIS,01 JUL 1961,USA,1,Bruxelles (BEL),24 AUG 1984,0.2
8.65,Carl LEWIS,01 JUL 1961,USA,1,San José (USA),26 JUN 1987,0.7
8.65,Iván PEDROSO,17 DEC 1972,CUB,1,Jena (GER),03 JUN 2000,1.5
8.65,Luvo MANYONGA,08 JAN 1991,RSA,1,Potchefstroom (RSA),22 APR 2017,1.3
8.65,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,"Letzigrund, Zürich (SUI)",29 AUG 2019,-0.5
8.64,Carl LEWIS,01 JUL 1961,USA,1,"New York, NY (USA)",15 JUN 1991,1.7
