Mark,Competitor,DOB,Nat,Pos,Venue,Date
9126,Kevin MAYER,10 FEB 1992,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2018
9018,Damian WARNER,04 NOV 1989,CAN,1,"National Stadium, Tokyo (JPN)",05 AUG 2021
8900,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Götzis (AUT),04 JUN 2000
8869,Ashton EATON,21 JAN 1988,USA,1,"Olympic Stadium, London (GBR)",09 AUG 2012
8836,Leo NEUGEBAUER,19 JUN 2000,GER,1,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023
8820,Bryan CLAY,03 JAN 1980,USA,2,"Olympic Stadium, Athina (GRE)",24 AUG 2004
8812,Dan O'BRIEN,18 JUL 1966,USA,1,"National Stadium, Tokyo (JPN)",30 AUG 1991
8800,Roman ŠEBRLE,26 NOV 1974,CZE,1,Götzis (AUT),02 JUN 2002
8791,Bryan CLAY,03 JAN 1980,USA,1,"National Stadium, Beijing (CHN)",22 AUG 2008
8757,Roman ŠEBRLE,26 NOV 1974,CZE,2,Götzis (AUT),04 JUN 2000
8744,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,"La Cartuja, Sevilla (ESP)",25 AUG 1999
8733,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Talence (FRA),30 JUL 2000
8730,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,2,"Olympic Stadium, Athina (GRE)",06 AUG 1997
8725,Dmitriy KARPOV,23 JUL 1981,KAZ,3,"Olympic Stadium, Athina (GRE)",24 AUG 2004
8715,Dan O'BRIEN,18 JUL 1966,USA,1,St. Petersburg (RUS),29 JUL 1994
8706,Frank BUSEMANN,26 FEB 1975,GER,2,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996
8701,Pierce LEPAGE,22 JAN 1996,CAN,2,"Hayward Field, Eugene, OR (USA)",24 JUL 2022
8695,Damian WARNER,04 NOV 1989,CAN,2,"National Stadium, Beijing (CHN)",29 AUG 2015
8689,Trey HARDEE,07 FEB 1984,USA,1,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011
8676,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007
8670,Michael SCHRADER,01 JUL 1987,GER,2,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013
8664,Tomáš DVOŘÁK,11 MAY 1972,CZE,3,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996
8660,Bryan CLAY,03 JAN 1980,USA,1,"Sacramento, CA (USA)",17 JUL 2004
8649,Ashley MOLONEY,13 MAR 2000,AUS,3,"National Stadium, Tokyo (JPN)",05 AUG 2021
8644,Maurice SMITH,28 SEP 1980,JAM,2,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007
8634,Roman ŠEBRLE,26 NOV 1974,CZE,2,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003
8626,Michael SMITH,16 SEP 1967,CAN,1,Götzis (AUT),26 MAY 1996
8616,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"Letzigrund, Zürich (SUI)",13 AUG 2014
8607,Trey HARDEE,07 FEB 1984,USA,1,"DS, Daegu (KOR)",28 AUG 2011
8604,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,1,Götzis (AUT),30 MAY 1993
8604,Pierce LEPAGE,22 JAN 1996,CAN,5,"National Stadium, Tokyo (JPN)",05 AUG 2021
8592,Tomáš DVOŘÁK,11 MAY 1972,CZE,2,Götzis (AUT),31 MAY 1998
8589,Kyle GARLAND,28 MAY 2000,USA,1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",12 MAY 2023
