Mark,Competitor,DOB,Nat,Pos,Venue,Date,WIND
12.12,Tobi AMUSAN,23 APR 1997,NGR,1sf1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,0.9
12.2,Kendra HARRISON,18 SEP 1992,USA,1,"Olympic Stadium, London (GBR)",22 JUL 2016,0.3
12.21,Yordanka DONKOVA,28 SEP 1961,BUL,1,Stara Zagora (BUL),20 AUG 1988,0.7
12.24,Yordanka DONKOVA,28 SEP 1961,BUL,1sf,Stara Zagora (BUL),28 AUG 1988,0.9
12.24,Kendra HARRISON,18 SEP 1992,USA,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,0.7
12.25,Ginka ZAGORCHEVA,12 APR 1958,BUL,1,Drama (GRE),08 AUG 1987,1.4
12.26,Yordanka DONKOVA,28 SEP 1961,BUL,1,Ljubljana (SLO),07 SEP 1986,1.5
12.26,Lyudmila NAROZHILENKO,21 APR 1964,RUS,1f1,Sevilla (ESP),06 JUN 1992,1.7
12.26,Brianna MCNEAL,18 AUG 1991,USA,1,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2013,1.2
12.26,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1sf3,"National Stadium, Tokyo (JPN)",01 AUG 2021,-0.2
12.27,Yordanka DONKOVA,28 SEP 1961,BUL,1,Stara Zagora (BUL),28 AUG 1988,-1.2
12.27,Kendra HARRISON,18 SEP 1992,USA,2sf1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,0.9
12.27,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,0.1
12.28,Lyudmila NAROZHILENKO,21 APR 1964,URS,1,Kiev (URS),11 JUL 1991,1.8
12.28,Lyudmila NAROZHILENKO,21 APR 1964,RUS,1f2,Sevilla (ESP),06 JUN 1992,0.9
12.28,Sally PEARSON,19 SEP 1986,AUS,1,"DS, Daegu (KOR)",03 SEP 2011,1.1
12.28,Kendra HARRISON,18 SEP 1992,USA,1f1,"Bregyó Athletic Center, Székesfehérvár (HUN)",04 JUL 2017,0.1
12.29,Yordanka DONKOVA,28 SEP 1961,BUL,1,Köln (GER),17 AUG 1986,-0.4
12.29,Tobi AMUSAN,23 APR 1997,NGR,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,-0.3
12.3,Tobi AMUSAN,23 APR 1997,NGR,1,"Alexander Stadium, Birmingham (GBR)",07 AUG 2022,-0.2
12.31,Britany ANDERSON,03 JAN 2001,JAM,1sf3,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,0.3
12.31,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,-0.2
12.32,Lyudmila NAROZHILENKO,21 APR 1964,RUS,1,Paris-St-Denis (FRA),04 JUN 1992,1.6
12.32,Danielle WILLIAMS,14 SEP 1992,JAM,1,"Olympic Stadium, London (GBR)",20 JUL 2019,0.8
12.32,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Percy Beard Track, Gainesville, FL (USA)",17 APR 2021,1.7
12.32,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,2sf3,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,0.3
12.33,Yordanka DONKOVA,28 SEP 1961,BUL,1,Fürth (GER),14 JUN 1987,1.4
12.33,Gail DEVERS,19 NOV 1966,USA,1,"Sacramento, CA (USA)",23 JUL 2000,-0.3
12.34,Ginka ZAGORCHEVA,12 APR 1958,BUL,1,"Stadio Olimpico, Roma (ITA)",04 SEP 1987,-0.5
12.34,Sharika NELVIS,10 MAY 1990,USA,1h3,"Hayward Field, Eugene, OR (USA)",26 JUN 2015,1.9
12.34,Brianna MCNEAL,18 AUG 1991,USA,1,"Hayward Field, Eugene, OR (USA)",08 JUL 2016,1.2
12.34,Nia ALI,23 OCT 1988,USA,1,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019,0.3
12.34,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1f1,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,0.2
12.34,Kendra HARRISON,18 SEP 1992,USA,1,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,-1.4
12.34,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Stadion Śląski, Chorzów (POL)",06 AUG 2022,0.8
12.34,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,-0.9
