Mark,Competitor,DOB,Nat,Pos,Venue,Date,WIND
10.49,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1qf1,"Indianapolis, IN (USA)",16 JUL 1988,0.0
10.54,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,0.9
10.6,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,1.7
10.61,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1,"Indianapolis, IN (USA)",17 JUL 1988,1.2
10.61,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"National Stadium, Tokyo (JPN)",31 JUL 2021,-0.6
10.62,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1qf3,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,1.0
10.62,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Stade Louis II, Monaco (MON)",10 AUG 2022,0.4
10.63,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1f1,"National Stadium, Kingston (JAM)",05 JUN 2021,1.3
10.64,Carmelita JETER,24 NOV 1979,USA,1,Shanghai (CHN),20 SEP 2009,1.2
10.64,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,1.7
10.65,Marion JONES,12 OCT 1975,USA,1,"SGJ, Johannesburg (RSA)",12 SEP 1998,1.1
10.65,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,0.6
10.65,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,-0.8
10.66,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Stadion Śląski, Chorzów (POL)",06 AUG 2022,0.5
10.67,Carmelita JETER,24 NOV 1979,USA,1,Thessaloniki (GRE),13 SEP 2009,-0.1
10.67,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,-0.4
10.67,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Stade Charléty, Paris (FRA)",18 JUN 2022,0.5
10.67,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Hayward Field, Eugene, OR (USA)",17 JUL 2022,0.8
10.67,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",08 AUG 2022,1.3
10.7,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,1sf1,"Indianapolis, IN (USA)",17 JUL 1988,1.6
10.7,Marion JONES,12 OCT 1975,USA,1,"La Cartuja, Sevilla (ESP)",22 AUG 1999,-0.1
10.7,Carmelita JETER,24 NOV 1979,USA,1,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,2.0
10.7,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,Kingston (JAM),29 JUN 2012,0.6
10.7,Elaine THOMPSON,28 JUN 1992,JAM,1,Kingston (JAM),01 JUL 2016,0.3
10.7,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1h2,"National Stadium, Kingston (JAM)",23 JUN 2022,1.1
10.71,Marion JONES,12 OCT 1975,USA,1,Chengdu (CHN),12 MAY 1998,0.1
10.71,Marion JONES,12 OCT 1975,USA,sf,"New Orleans, LA (USA)",19 JUN 1998,2.0
10.71,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Luzhniki Stadion, Moskva (RUS)",12 AUG 2013,-0.3
10.71,Elaine THOMPSON,28 JUN 1992,JAM,1,"Estádio Olímpico, Rio de Janeiro (BRA)",13 AUG 2016,0.5
10.71,Elaine THOMPSON,28 JUN 1992,JAM,1,Kingston (JAM),23 JUN 2017,0.8
10.71,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Khalifa International Stadium, Doha (QAT)",29 SEP 2019,0.1
10.71,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"National Stadium, Kingston (JAM)",25 JUN 2021,1.0
10.71,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,0.6
10.71,Shericka JACKSON,16 JUL 1994,JAM,2,"Stade Louis II, Monaco (MON)",10 AUG 2022,0.4
10.72,Marion JONES,12 OCT 1975,USA,1,"New Orleans, LA (USA)",20 JUN 1998,2.0
10.72,Marion JONES,12 OCT 1975,USA,1,"Stade Louis II, Monaco (MON)",08 AUG 1998,0.0
10.72,Marion JONES,12 OCT 1975,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 1998,0.0
10.72,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,-0.3
10.72,Elaine THOMPSON,28 JUN 1992,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,0.6
