Mark,Competitor,DOB,Nat,Pos,Venue,Date
44:20,Letesenbet GIDEY,20 MAR 1998,ETH,1.0,Nijmegen (NED),17 NOV 2019
45:37,Joyciline JEPKOSGEI,08 DEC 1993,KEN,,Praha (CZE),01 APR 2017
46:14,Florence KIPLAGAT,27 FEB 1987,KEN,,Barcelona (ESP),15 FEB 2015
46:28,Tirunesh DIBABA,01 OCT 1985,ETH,1.0,Nijmegen (NED),15 NOV 2009
46:33,Evaline CHIRCHIR,02 FEB 1998,KEN,2.0,Nijmegen (NED),17 NOV 2019
46:52,Zeineba YIMER,17 JUN 1998,ETH,1.0,Valencia (ESP),08 JUN 2019
46:57,Elana MEYER,10 OCT 1966,RSA,1.0,Cape Town (RSA),02 NOV 1991
46:57,Mestawat TUFA,14 SEP 1983,ETH,1.0,Nijmegen (NED),16 NOV 2008
46:59,Lornah KIPLAGAT,01 MAY 1974,NED,,Udine (ITA),14 OCT 2007
46:59,Prisca JEPTOO,24 JUN 1984,KEN,1.0,Nijmegen (NED),16 NOV 2014
47:00,Shalane FLANAGAN,08 JUL 1981,USA,1.0,"Jacksonville, FL (USA)",15 MAR 2014
47:02,Lydia CHEROMEI,11 MAY 1977,KEN,1.0,Nijmegen (NED),21 NOV 2004
47:08,Tirunesh DIBABA,01 OCT 1985,ETH,1.0,Nijmegen (NED),18 NOV 2012
47:15,Deena KASTOR,14 FEB 1973,USA,1.0,"Jacksonville, FL (USA)",08 MAR 2003
47:17,Ingrid KRISTIANSEN,21 MAR 1956,NOR,1.0,Monaco (MON),21 NOV 1987
47:18,Beatrice CHEPKOECH,06 JUL 1991,KEN,1.0,Nijmegen (NED),20 NOV 2022
47:19,Stella CHESANG,01 DEC 1996,UGA,1.0,Nijmegen (NED),18 NOV 2018
47:20,Deena KASTOR,14 FEB 1973,USA,1.0,"Jacksonville, FL (USA)",10 MAR 2007
47:21,Evaline CHIRCHIR,02 FEB 1998,KEN,2.0,Nijmegen (NED),20 NOV 2022
47:22,Mestawat TUFA,14 SEP 1983,ETH,1.0,Nijmegen (NED),19 NOV 2006
47:24,Joyce Chepkemoi TELE,03 MAY 1995,KEN,1.0,Valencia (ESP),18 SEP 2021
47:28,Emily SISSON,12 OCT 1991,USA,1.0,"Jacksonville, FL (USA)",05 MAR 2022
