Mark,Competitor,DOB,Nat,Pos,Venue,Date
1:26:52.3h,Olimpiada IVANOVA,29 AUG 1970,RUS,1,Brisbane (AUS),06 SEP 2001
1:27:49.3h,Yelena NIKOLAYEVA,01 FEB 1966,RUS,2,Brisbane (AUS),06 SEP 2001
1:29:32.4h,Hongjuan SONG,04 JUL 1984,CHN,1,Changsha (CHN),23 OCT 2003
1:29:36.4h,Susana FEITOR,28 JAN 1975,POR,1,Lisboa (POR),21 JUL 2001
1:30:48.3h,Rossella GIORDANO,01 DEC 1972,ITA,1,Almada (POR),04 AUG 2000
1:30:52.0h,Karla JARAMILLO,21 JAN 1997,ECU,1,Lima (PER),25 MAY 2019
1:31:02.25,Lorena ARENAS,17 SEP 1993,COL,1,Lima (PER),13 JUN 2015
1:31:16.18,Hong LIU,12 MAY 1987,CHN,1,Wuhan (CHN),01 NOV 2007
1:31:18.79,Xiaoling SONG,21 DEC 1987,CHN,2,Wuhan (CHN),01 NOV 2007
1:31:25.49,Mary Luz ANDIA,09 NOV 2000,PER,1,"Estadio Atlético de la VIDENA, Lima (PER)",16 JUN 2023
1:31:46.9h,Lorena ARENAS,17 SEP 1993,COL,1,Santiago de Chile (CHI),13 MAR 2014
1:31:47.95,Yanmin BAI,29 JUN 1987,CHN,3,Wuhan (CHN),01 NOV 2007
1:31:52.30,Shanshan WANG,16 JUN 1987,CHN,4,Wuhan (CHN),01 NOV 2007
1:31:53.72,Mirna ORTÍZ,28 FEB 1987,GUA,1,Ciudad de Guatemala (GUA),08 AUG 2014
1:32:01.67,Glenda MOREJÓN,30 MAY 2000,ECU,1,Guayaquil (ECU),17 OCT 2021
1:32:09.4h,Ingrid HERNANDEZ,29 NOV 1988,COL,1,Buenos Aires (ARG),05 JUN 2011
1:32:12.42,Leyde GUERRA,27 SEP 1998,PER,1,Cuenca (ECU),29 SEP 2018
1:32:17.6h,Milángela Francesca ROSALES,21 FEB 1987,VEN,2,Buenos Aires (ARG),05 JUN 2011
1:32:19.71,Jingjing NIE,01 MAR 1988,CHN,5,Wuhan (CHN),01 NOV 2007
1:32:22.4h,Eva PÉREZ,18 JUL 1975,ESP,3,Brisbane (AUS),06 SEP 2001
1:32:26.0h,Paola PÉREZ,21 DEC 1989,ECU,1,Asunción (PAR),24 JUN 2017
1:32:30.36,Limin SUN,06 FEB 1987,CHN,6,Wuhan (CHN),01 NOV 2007
1:32:31.7h,Lorena ARENAS,17 SEP 1993,COL,1,Medellín (COL),06 OCT 2013
1:32:35.2h,Angela Melania CASTRO CHIRIVECHZ,21 FEB 1993,BOL,2,Asunción (PAR),24 JUN 2017
1:32:36.0h,Angela Melania CASTRO CHIRIVECHZ,21 FEB 1993,BOL,2,Lima (PER),25 MAY 2019
1:32:45.7h,Olga POLYAKOVA,23 SEP 1980,RUS,1,Moskva (RUS),27 JUL 2001
1:32:48.7h,Anabelly ORJUELA,24 JUL 1988,COL,3,Buenos Aires (ARG),05 JUN 2011
1:33:18.0h,Yadira GUAMÁN,09 JUN 1986,ECU,4,Buenos Aires (ARG),05 JUN 2011
1:33:20.04,Maritza Rafaela PONCIO,23 DEC 1994,GUA,2,Ciudad de Guatemala (GUA),08 AUG 2014
1:33:20.2h,Larisa YEMELYANOVA,06 JAN 1980,RUS,1,Izhevsk (RUS),17 SEP 2005
1:33:25.5h,Valentina TSYBULSKAYA,19 FEB 1968,BLR,4,Brisbane (AUS),06 SEP 2001
1:33:27.22,Yelena GINKO,30 JUL 1976,BLR,1,Brest (BLR),08 JUL 2006
1:33:28.15,Teresa VAILL,20 NOV 1962,USA,1,"Carson, CA (USA)",25 JUN 2005
1:33:29.9h,Yekaterina YEZHOVA,03 JUL 1982,RUS,2,Izhevsk (RUS),17 SEP 2005
1:33:37.13,Viviane LYRA,29 JUL 1993,BRA,1,Rio de Janeiro (BRA),22 JUN 2022
1:33:38.3h,Marina SMYSLOVA,05 JUN 1966,RUS,3,Izhevsk (RUS),17 SEP 2005
1:33:40.0h,Leyde GUERRA,27 SEP 1998,PER,3,Lima (PER),25 MAY 2019
1:33:40.2h,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,5,Brisbane (AUS),06 SEP 2001
1:33:42.1h,Cheryl WEBB,03 OCT 1976,AUS,1,Melbourne (AUS),04 AUG 2002
1:33:44.3h,Olga POVALYAYEVA,19 OCT 1984,RUS,1,Khanty-Mansiysk (RUS),28 JUL 2006
1:33:51.2h,Lorena ARENAS,17 SEP 1993,COL,1,Medellín (COL),11 JUN 2017
1:33:52.90,Meryem BEKMEZ,31 JUL 2000,TUR,1,"Nevin Yanıt Atletizm Pisti, Mersin (TUR)",26 APR 2022
1:33:54.16,Glenda MOREJÓN,30 MAY 2000,ECU,1,"Pascual Guerrero Stadium, Cali (COL)",03 DEC 2021
1:33:58.1h,Sofia AVOILA,30 JUL 1976,POR,2,Lisboa (POR),21 JUL 2001
1:34:04.4h,Sandra Viviana GALVIS,28 JUN 1986,COL,2,Santiago de Chile (CHI),13 MAR 2014
1:34:11.95,Snezhana YURCHENKO,01 AUG 1984,BLR,2,Brest (BLR),08 JUL 2006
1:34:12.31,Xue CHAI,21 JAN 1988,CHN,7,Wuhan (CHN),01 NOV 2007
1:34:17.0h,Olga SURANOVA,07 DEC 1986,RUS,2,Khanty-Mansiysk (RUS),28 JUL 2006
1:34:21.56,Xue Hui WANG,14 FEB 1990,CHN,8,Wuhan (CHN),01 NOV 2007
1:34:30.0h,Evelyn INGA,16 APR 1998,PER,4,Lima (PER),25 MAY 2019
1:34:31.06,Michelle ROHL,12 NOV 1965,USA,1,"Palo Alto, CA (USA)",21 JUN 2003
1:34:38.15,Tatyana METLEVSKAYA,14 SEP 1984,BLR,3,Brest (BLR),08 JUL 2006
1:34:39.71,Jie HAN,31 DEC 1987,CHN,9,Wuhan (CHN),01 NOV 2007
1:34:46.52,Joanne DOW,19 MAR 1964,USA,1,"Palo Alto, CA (USA)",21 JUN 2002
1:34:46.6h,Vera SANTOS,03 DEC 1981,POR,3,Lisboa (POR),13 JUL 2002
1:34:50.9h,Irina PUDOVKINA,11 FEB 1980,RUS,4,Izhevsk (RUS),17 SEP 2005
