Mark,Competitor,DOB,Nat,Pos,Venue,Date
5:52.80,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1,"Olympiastadion, Berlin (GER)",01 SEP 2019
5:56.28,Maruša MIŠMAŠ ZRIMŠEK,24 OCT 1994,SLO,1,"Stadion Park Šiška, Ljubljana (SLO)",16 JUL 2020
5:56.83,Winfred Mutile YAVI,31 DEC 1999,BRN,2,"Olympiastadion, Berlin (GER)",01 SEP 2019
6:00.07,Luiza GEGA,05 NOV 1988,ALB,3,"Olympiastadion, Berlin (GER)",01 SEP 2019
6:01.47,Tatiane Raquel DA SILVA,10 JUN 1990,BRA,1,"Golęcin Stadion, Poznan (POL)",18 JUN 2023
6:02.04,Celestine Jepkosgei BIWOT,24 DEC 2003,KEN,2,"Golęcin Stadion, Poznan (POL)",18 JUN 2023
6:02.16,Virginia NYAMBURA,20 JUL 1993,KEN,1,"Olympiastadion, Berlin (GER)",06 SEP 2015
6:02.47,Beatrice CHEPKOECH,06 JUL 1991,KEN,2,"Olympiastadion, Berlin (GER)",06 SEP 2015
6:02.61,Winnie JEMUTAI,04 JUN 2003,KEN,3,"Golęcin Stadion, Poznan (POL)",18 JUN 2023
6:03.16,Yekaterina IVONINA,14 JUN 1994,RUS,1,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",23 JUN 2022
6:03.38,Wioletta FRANKIEWICZ,09 JUN 1977,POL,1,Gdansk (POL),15 JUL 2006
6:04.05,Maroua BOUZIANI,1997,TUN,1,"Stade L. Lagrange, Toulon (FRA)",12 MAY 2023
6:04.20,Gesa Felicitas KRAUSE,03 AUG 1992,GER,3,"Olympiastadion, Berlin (GER)",06 SEP 2015
6:04.46,Dorcus INZIKURU,02 FEB 1982,UGA,1,"AC Gianni Brera, Milano (ITA)",01 JUN 2005
6:06.85,Aneta KONIECZEK,08 JUN 1997,POL,4,"Golęcin Stadion, Poznan (POL)",18 JUN 2023
6:07.01,Fancy CHERONO,02 AUG 2001,KEN,4,"Olympiastadion, Berlin (GER)",01 SEP 2019
6:07.72,Jolanda KALLABIS,18 FEB 2005,GER,1,"Moselstadion, Trier (GER)",09 SEP 2022
6:08.17,Aimee PRATT,03 OCT 1997,GBR,1,"Birmingham University Athletics Track, Birmingham (GBR)",14 MAY 2022
6:09.46,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1,Rehlingen (GER),16 MAY 2016
