Mark,Competitor,DOB,Nat,Pos,Venue,Date
8:06.11,Junxia WANG,09 JAN 1973,CHN,1,Beijing (CHN),13 SEP 1993
8:12.18,Yunxia QU,25 DEC 1972,CHN,2,Beijing (CHN),13 SEP 1993
8:12.19,Junxia WANG,09 JAN 1973,CHN,1h2,Beijing (CHN),12 SEP 1993
8:12.27,Yunxia QU,25 DEC 1972,CHN,2h2,Beijing (CHN),12 SEP 1993
8:16.50,Linli ZHANG,06 MAR 1973,CHN,3,Beijing (CHN),13 SEP 1993
8:18.49,Sifan HASSAN,01 JAN 1993,NED,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019
8:19.08,Francine NIYONSABA,05 MAY 1993,BDI,1,"Stade Charléty, Paris (FRA)",28 AUG 2021
8:19.52,Ejgayehu TAYE,10 FEB 2000,ETH,2,"Stade Charléty, Paris (FRA)",28 AUG 2021
8:19.78,Liyan MA,06 SEP 1968,CHN,3h2,Beijing (CHN),12 SEP 1993
8:20.07,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,2,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019
8:20.27,Letesenbet GIDEY,20 MAR 1998,ETH,3,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019
8:20.68,Hellen OBIRI,13 DEC 1989,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014
8:21.14,Mercy CHERONO,07 MAY 1991,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014
8:21.26,Liyan MA,06 SEP 1968,CHN,4,Beijing (CHN),13 SEP 1993
8:21.29,Genzebe DIBABA,08 FEB 1991,ETH,4,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019
8:21.42,Gabriela SZABO,14 NOV 1975,ROU,1,"Stade Louis II, Monaco (MON)",19 JUL 2002
8:21.53,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,3,"Stade Charléty, Paris (FRA)",28 AUG 2021
8:21.64,Sonia O'SULLIVAN,28 NOV 1969,IRL,1,"Crystal Palace, London (GBR)",15 JUL 1994
8:21.84,Li-rong ZHANG,03 MAR 1973,CHN,5,Beijing (CHN),13 SEP 1993
8:22.06,Linli ZHANG,06 MAR 1973,CHN,1h1,Beijing (CHN),12 SEP 1993
8:22.20,Paula RADCLIFFE,17 DEC 1973,GBR,2,"Stade Louis II, Monaco (MON)",19 JUL 2002
8:22.22,Almaz AYANA,21 NOV 1991,ETH,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",14 JUN 2015
8:22.34,Almaz AYANA,21 NOV 1991,ETH,1,"Letzigrund, Zürich (SUI)",03 SEP 2015
8:22.44,Li-rong ZHANG,03 MAR 1973,CHN,2h1,Beijing (CHN),12 SEP 1993
8:22.54,Hellen OBIRI,13 DEC 1989,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020
8:22.62,Tatyana KAZANKINA,17 DEC 1951,URS,1,Leningrad (URS),26 AUG 1984
8:22.92,Agnes Jebet TIROP,23 OCT 1995,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020
8:22.92,Beatrice CHEPKOECH,06 JUL 1991,KEN,3,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020
8:23.11,Almaz AYANA,21 NOV 1991,ETH,1,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2016
8:23.14,Hellen OBIRI,13 DEC 1989,KEN,1,"Stade Louis II, Monaco (MON)",21 JUL 2017
8:23.23,Edith MASAI,04 APR 1967,KEN,3,"Stade Louis II, Monaco (MON)",19 JUL 2002
8:23.26,Olga YEGOROVA,28 MAR 1972,RUS,1,"Letzigrund, Zürich (SUI)",17 AUG 2001
8:23.55,Faith KIPYEGON,10 JAN 1994,KEN,3,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014
8:23.75,Olga YEGOROVA,28 MAR 1972,RUS,1,St-Denis (FRA),06 JUL 2001
8:23.96,Olga YEGOROVA,28 MAR 1972,RUS,1,"Stadio Olimpico, Roma (ITA)",29 JUN 2001
8:24.19,Gabriela SZABO,14 NOV 1975,ROU,2,"Letzigrund, Zürich (SUI)",17 AUG 2001
8:24.27,Hellen OBIRI,13 DEC 1989,KEN,1,"Stade Louis II, Monaco (MON)",15 JUL 2016
8:24.27,Francine NIYONSABA,05 MAY 1993,BDI,,"Hayward Field, Eugene, OR (USA)",27 MAY 2022
8:24.31,Gabriela SZABO,14 NOV 1975,ROU,1,Paris (FRA),29 JUL 1998
8:24.41,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,4,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014
8:24.51,Meseret DEFAR,19 NOV 1983,ETH,,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007
8:24.58,Almaz AYANA,21 NOV 1991,ETH,5,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014
8:24.66,Meseret DEFAR,19 NOV 1983,ETH,1,Stockholm (SWE),25 JUL 2006
8:24.76,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,4,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020
8:25.01,Beatrice CHEBET,05 MAR 2000,KEN,1,"Bislett Stadion, Oslo (NOR)",15 JUN 2023
8:25.03,Gabriela SZABO,14 NOV 1975,ROU,1,Zürich (SUI),11 AUG 1999
8:25.13,Hyvin KIYENG,13 JAN 1992,KEN,5,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020
8:25.23,Gudaf TSEGAY,23 JUN 1997,ETH,6,"Suhaim bin Hamad Stadium, Doha (QAT)",25 SEP 2020
8:25.40,Yelena ZADOROZHNAYA,03 DEC 1977,RUS,2,"Stadio Olimpico, Roma (ITA)",29 JUN 2001
8:25.56,Tatyana TOMASHOVA,01 JUL 1975,RUS,3,"Stadio Olimpico, Roma (ITA)",29 JUN 2001
8:25.59,Gabriela SZABO,14 NOV 1975,ROU,1,"Stade de France, Paris-St-Denis (FRA)",21 JUL 1999
8:25.60,Hellen OBIRI,13 DEC 1989,KEN,1,"Khalifa International Stadium, Doha (QAT)",03 MAY 2019
8:25.62,Berhane ADERE,23 NOV 1973,ETH,3,"Letzigrund, Zürich (SUI)",17 AUG 2001
8:25.82,Gabriela SZABO,14 NOV 1975,ROU,1,Bruxelles (BEL),03 SEP 1999
8:25.83,Mary SLANEY,04 AUG 1958,USA,1,"Stadio Olimpico, Roma (ITA)",07 SEP 1985
8:25.90,Lilian Kasait RENGERUK,03 MAY 1997,KEN,2,"Bislett Stadion, Oslo (NOR)",15 JUN 2023
8:25.92,Gelete BURKA,23 JAN 1986,ETH,2,Stockholm (SWE),25 JUL 2006
8:26.07,Laura WEIGHTMAN,01 JUL 1991,GBR,5,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019
8:26.14,Berhane ADERE,23 NOV 1973,ETH,1,Bruxelles (BEL),30 AUG 2002
8:26.14,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,3,"Bislett Stadion, Oslo (NOR)",15 JUN 2023
8:26.15,Gabriela SZABO,14 NOV 1975,ROU,2,Bruxelles (BEL),30 AUG 2002
8:26.20,Genzebe DIBABA,08 FEB 1991,ETH,2,"Khalifa International Stadium, Doha (QAT)",03 MAY 2019
8:26.21,Genzebe DIBABA,08 FEB 1991,ETH,6,"Suhaim bin Hamad Stadium, Doha (QAT)",09 MAY 2014
