Mark,Competitor,DOB,Nat,Pos,Venue,Date
50.68,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Hayward Field, Eugene, OR (USA)",22 JUL 2022
51.41,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Hayward Field, Eugene, OR (USA)",25 JUN 2022
51.46,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"National Stadium, Tokyo (JPN)",04 AUG 2021
51.58,Dalilah MUHAMMAD,07 FEB 1990,USA,2,"National Stadium, Tokyo (JPN)",04 AUG 2021
51.61,Sydney MCLAUGHLIN,07 AUG 1999,USA,1f1,"Vanderbilt Track, Nashville, TN (USA)",05 JUN 2022
51.68,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",08 AUG 2022
51.9,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Hayward Field, Eugene, OR (USA)",27 JUN 2021
52.03,Femke BOL,23 FEB 2000,NED,3,"National Stadium, Tokyo (JPN)",04 AUG 2021
52.16,Dalilah MUHAMMAD,07 FEB 1990,USA,1,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019
52.17,Sydney MCLAUGHLIN,07 AUG 1999,USA,1sf3,"Hayward Field, Eugene, OR (USA)",20 JUL 2022
52.2,Dalilah MUHAMMAD,07 FEB 1990,USA,1,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019
52.23,Sydney MCLAUGHLIN,07 AUG 1999,USA,2,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019
52.27,Femke BOL,23 FEB 2000,NED,1,"Olympiastadion, Stockholm (SWE)",30 JUN 2022
52.27,Femke BOL,23 FEB 2000,NED,2,"Hayward Field, Eugene, OR (USA)",22 JUL 2022
52.3,Femke BOL,23 FEB 2000,NED,1,"Bislett Stadion, Oslo (NOR)",15 JUN 2023
52.34,Yulia PECHONKINA,21 APR 1978,RUS,1,Tula (RUS),08 AUG 2003
52.37,Femke BOL,23 FEB 2000,NED,1,"Olympiastadion, Stockholm (SWE)",04 JUL 2021
52.39,Shamier LITTLE,20 MAR 1995,USA,2,"Olympiastadion, Stockholm (SWE)",04 JUL 2021
52.42,Melaine WALKER,01 MAR 1983,JAM,1,"Olympiastadion, Berlin (GER)",20 AUG 2009
52.42,Dalilah MUHAMMAD,07 FEB 1990,USA,2,"Hayward Field, Eugene, OR (USA)",27 JUN 2021
52.43,Femke BOL,23 FEB 2000,NED,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023
52.47,Lashinda DEMUS,10 MAR 1983,USA,1,"DS, Daegu (KOR)",01 SEP 2011
52.61,Kim BATTEN,29 MAR 1969,USA,1,"Ullevi Stadium, Göteborg (SWE)",11 AUG 1995
52.61,Femke BOL,23 FEB 2000,NED,1,"Bislett Stadion, Oslo (NOR)",16 JUN 2022
52.62,Tonja BUFORD-BAILEY,13 DEC 1970,USA,2,"Ullevi Stadium, Göteborg (SWE)",11 AUG 1995
52.63,Lashinda DEMUS,10 MAR 1983,USA,1,"Stade Louis II, Monaco (MON)",28 JUL 2009
52.64,Melaine WALKER,01 MAR 1983,JAM,1,"National Stadium, Beijing (CHN)",20 AUG 2008
52.64,Dalilah MUHAMMAD,07 FEB 1990,USA,1,"Sacramento, CA (USA)",25 JUN 2017
52.67,Femke BOL,23 FEB 2000,NED,1,"Olympiastadion, München (GER)",19 AUG 2022
52.73,Melaine WALKER,01 MAR 1983,JAM,2,"DS, Daegu (KOR)",01 SEP 2011
52.74,Sally GUNNELL,29 JUL 1966,GBR,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",19 AUG 1993
52.74,Kim BATTEN,29 MAR 1969,USA,1,"Stade Louis II, Monaco (MON)",08 AUG 1998
52.75,Shamier LITTLE,20 MAR 1995,USA,2,"Sacramento, CA (USA)",25 JUN 2017
52.75,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Knoxville, TN (USA)",13 MAY 2018
52.76,Femke BOL,23 FEB 2000,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023
52.77,Fani CHALKIA,02 FEB 1979,GRE,1sf2,"Olympic Stadium, Athina (GRE)",22 AUG 2004
52.77,Lashinda DEMUS,10 MAR 1983,USA,1,"Olympic Stadium, London (GBR)",08 AUG 2012
52.77,Dalilah MUHAMMAD,07 FEB 1990,USA,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021
52.79,Sandra FARMER-PATRICK,18 AUG 1962,USA,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",19 AUG 1993
52.79,Kaliese SPENCER,06 MAY 1987,JAM,1,"Crystal Palace, London (GBR)",05 AUG 2011
52.8,Femke BOL,23 FEB 2000,NED,1,"Letzigrund, Zürich (SUI)",09 SEP 2021
52.81,Femke BOL,23 FEB 2000,NED,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021
52.82,Deon HEMMINGS,09 OCT 1968,JAM,1,"Olympic Stadium, Atlanta, GA (USA)",31 JUL 1996
52.82,Fani CHALKIA,02 FEB 1979,GRE,1,"Olympic Stadium, Athina (GRE)",25 AUG 2004
52.82,Lashinda DEMUS,10 MAR 1983,USA,1,"Stadio Olimpico, Roma (ITA)",10 JUN 2010
52.83,Zuzana HEJNOVÁ,19 DEC 1986,CZE,1,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013
52.83,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Nashville, TN (USA)",06 JUN 2021
52.84,Kim BATTEN,29 MAR 1969,USA,1,Zürich (SUI),12 AUG 1998
52.84,Femke BOL,23 FEB 2000,NED,1sf2,"Hayward Field, Eugene, OR (USA)",20 JUL 2022
52.85,Sydney MCLAUGHLIN,07 AUG 1999,USA,1,"Letzigrund, Zürich (SUI)",29 AUG 2019
52.85,Shamier LITTLE,20 MAR 1995,USA,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021
52.88,Dalilah MUHAMMAD,07 FEB 1990,USA,1,"Hayward Field, Eugene, OR (USA)",10 JUL 2016
52.88,Sydney MCLAUGHLIN,07 AUG 1999,USA,2,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019
52.89,Daimí PERNÍA,27 DEC 1976,CUB,1,"La Cartuja, Sevilla (ESP)",25 AUG 1999
52.9,Tonja BUFORD-BAILEY,13 DEC 1970,USA,1,Zürich (SUI),16 AUG 1995
52.9,Nezha BIDOUANE,18 SEP 1969,MAR,2,"La Cartuja, Sevilla (ESP)",25 AUG 1999
52.9,Yulia PECHONKINA,21 APR 1978,RUS,1,"Olympiastadion, Helsinki (FIN)",13 AUG 2005
52.9,Sydney MCLAUGHLIN,07 AUG 1999,USA,1sf1,"Hayward Field, Eugene, OR (USA)",24 JUN 2022
52.92,Natalya ANTYUKH,26 JUN 1981,RUS,1,"Estadio Olímpico, Barcelona (ESP)",30 JUL 2010
52.94,Marina STEPANOVA,01 MAY 1950,URS,1sf,Tashkent (UZB),17 SEP 1986
52.95,Sheena JOHNSON-TOSTA,01 OCT 1982,USA,1,"Sacramento, CA (USA)",11 JUL 2004
52.95,Kori CARTER,03 JUN 1992,USA,3,"Sacramento, CA (USA)",25 JUN 2017
52.95,Femke BOL,23 FEB 2000,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022
52.96,Nezha BIDOUANE,18 SEP 1969,MAR,1,"SGJ, Johannesburg (RSA)",11 SEP 1998
52.96,Lashinda DEMUS,10 MAR 1983,USA,2,"Olympiastadion, Berlin (GER)",20 AUG 2009
52.96,Anna RYZHYKOVA,24 NOV 1989,UKR,3,"Olympiastadion, Stockholm (SWE)",04 JUL 2021
52.97,Kim BATTEN,29 MAR 1969,USA,1,"Indianapolis, IN (USA)",14 JUN 1997
52.97,Nezha BIDOUANE,18 SEP 1969,MAR,1,"Olympic Stadium, Athina (GRE)",08 AUG 1997
52.98,Deon HEMMINGS,09 OCT 1968,JAM,1f1,Zürich (SUI),13 AUG 1997
52.99,Deon HEMMINGS,09 OCT 1968,JAM,1sf1,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996
53.01,Yulia PECHONKINA,21 APR 1978,RUS,1,Tula (RUS),11 JUL 2005
53.02,Irina PRIVALOVA,22 NOV 1968,RUS,1,"Olympic Stadium, Sydney (AUS)",27 SEP 2000
53.02,Lashinda DEMUS,10 MAR 1983,USA,1,"Olympic Stadium, Athina (GRE)",03 JUL 2006
53.02,Femke BOL,23 FEB 2000,NED,1,"Stadio Olimpico, Roma (ITA)",09 JUN 2022
53.03,Deon HEMMINGS,09 OCT 1968,JAM,2,"SGJ, Johannesburg (RSA)",11 SEP 1998
53.03,Lashinda DEMUS,10 MAR 1983,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010
53.03,Sydney MCLAUGHLIN,07 AUG 1999,USA,1sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021
53.03,Sydney MCLAUGHLIN,07 AUG 1999,USA,1sf2,"National Stadium, Tokyo (JPN)",02 AUG 2021
53.03,Femke BOL,23 FEB 2000,NED,1,"Letzigrund, Zürich (SUI)",08 SEP 2022
53.05,Nezha BIDOUANE,18 SEP 1969,MAR,1,"Stadio Olimpico, Roma (ITA)",07 JUL 1999
53.05,Yulia PECHONKINA,21 APR 1978,RUS,1,Tula (RUS),13 JUN 2005
53.05,Femke BOL,23 FEB 2000,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021
53.06,Kim BATTEN,29 MAR 1969,USA,1,"Stade Louis II, Monaco (MON)",16 AUG 1997
53.06,Kim BATTEN,29 MAR 1969,USA,1,Paris (FRA),29 JUL 1998
53.07,Lashinda DEMUS,10 MAR 1983,USA,1,"Indianapolis, IN (USA)",25 JUN 2006
53.07,Zuzana HEJNOVÁ,19 DEC 1986,CZE,1,"Olympic Stadium, London (GBR)",26 JUL 2013
53.07,Kori CARTER,03 JUN 1992,USA,1,"Olympic Stadium, London (GBR)",10 AUG 2017
53.08,Kim BATTEN,29 MAR 1969,USA,2,"Olympic Stadium, Atlanta, GA (USA)",31 JUL 1996
53.08,Nezha BIDOUANE,18 SEP 1969,MAR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999
53.08,Janieve RUSSELL,14 NOV 1993,JAM,4,"National Stadium, Tokyo (JPN)",04 AUG 2021
53.08,Britton WILSON,13 NOV 2000,USA,2,"Hayward Field, Eugene, OR (USA)",25 JUN 2022
53.09,Deon HEMMINGS,09 OCT 1968,JAM,2,"Olympic Stadium, Athina (GRE)",08 AUG 1997
