Mark,Competitor,DOB,Nat,Pos,Venue,Date
16:27.02,Nike/Bowerman Track Club,,USA,1,"Jesuit High School Track, Portland, OR (USA)",31 JUL 2020
16:33.58,Kenya,,KEN,1,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
16:55.33,United States,,USA,2,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
17:05.72,Kenya,,KEN,1,Nairobi (KEN),26 APR 2014
17:08.17,Kenya,,KEN,1,Nairobi (KEN),04 APR 2014
17:08.34,Tennessee,,INT,1,"Philadelphia, PA (USA)",24 APR 2009
17:08.65,Australia,,AUS,3,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
17:09.75,Australia,,AUS,1,London (GBR),25 JUN 2000
17:11.35,Providence,,INT,1,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023
17:11.70,Oklahoma State,,INT,2,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023
17:11.80,Georgetown,,USA,2,"Philadelphia, PA (USA)",24 APR 2009
17:14.55,Washington,,USA,3,"Philadelphia, PA (USA)",24 APR 2009
17:14.91,Tennessee,,USA,1,"Philadelphia, PA (USA)",23 APR 2010
17:15.41,Villanova,,INT,2,"Philadelphia, PA (USA)",23 APR 2010
17:15.47,Michigan,,USA,1,"Philadelphia, PA (USA)",26 APR 2013
17:15.62,Michigan,,INT,1,"Philadelphia, PA (USA)",27 APR 2007
17:15.64,Washington,,INT,3,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023
17:16.50,Oregon,,INT,2,"Philadelphia, PA (USA)",26 APR 2013
17:16.52,Villanova,,USA,1,"Philadelphia, PA (USA)",25 APR 2014
17:16.74,Stanford,,USA,2,"Philadelphia, PA (USA)",25 APR 2014
17:17.57,Villanova,,USA,3,"Philadelphia, PA (USA)",26 APR 2013
17:18.10,Villanova,,INT,1,"Philadelphia, PA (USA)",27 APR 1990
17:18.63,Stanford,,USA,1,"Philadelphia, PA (USA)",28 APR 2006
17:19.09,BMC Ireland,,IRL,2,London (GBR),25 JUN 2000
17:19.44,Georgetown,,INT,4,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023
17:19.95,Notre Dame,,INT,5,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023
17:20.18,North Carolina,,INT,1,"Philadelphia, PA (USA)",25 APR 2003
17:20.87,Dartmouth College,,USA,3,"Philadelphia, PA (USA)",25 APR 2014
17:22.29,Villanova,,INT,4,"Philadelphia, PA (USA)",24 APR 2009
17:22.30,Providence College,,IRL,1,"Philadelphia, PA (USA)",26 APR 1991
17:22.57,St. Peterburg Region,,RUS,1,"Yunost Stadium, Adler, Sochi (RUS)",07 SEP 2013
17:22.58,Villanova,,INT,1,"Philadelphia, PA (USA)",28 APR 1989
17:22.72,Wisconsin,,USA,2,"Philadelphia, PA (USA)",27 APR 1990
17:22.82,Tennessee,,USA,3,"Philadelphia, PA (USA)",27 APR 1990
17:24.65,Bashkortostan Region,,RUS,1,"Adler, Sochi (RUS)",06 SEP 2014
17:25.19,Boston College,,INT,1,"Philadelphia, PA (USA)",29 APR 2011
17:25.27,Oregon,,INT,3,"Philadelphia, PA (USA)",23 APR 2010
17:25.65,Georgetown,,USA,2,"Philadelphia, PA (USA)",29 APR 2011
17:25.85,Villanova,,INT,1,"Philadelphia, PA (USA)",28 APR 2017
17:26.44,New Mexico,,INT,6,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023
17:26.78,Moskva Region,,RUS,2,"Yunost Stadium, Adler, Sochi (RUS)",07 SEP 2013
17:26.88,Stanford,,USA,1,"Philadelphia, PA (USA)",23 APR 2004
17:27.25,Wisconsin,,INT,7,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023
17:27.47,Stanford,,USA,2,"Philadelphia, PA (USA)",28 APR 2017
17:27.54,Stanford,,USA,1,"Philadelphia, PA (USA)",24 APR 2015
17:28.00,Villanova,,INT,2,"Philadelphia, PA (USA)",28 APR 2006
17:28.12,Villanova,,INT,3,"Philadelphia, PA (USA)",29 APR 2011
17:28.98,Michigan,,INT,1,"Philadelphia, PA (USA)",24 APR 2008
17:29.00,Oregon,,INT,1,"Philadelphia, PA (USA)",27 APR 2012
17:29.12,Tennessee,,INT,2,"Philadelphia, PA (USA)",24 APR 2008
17:29.32,Villanova,,INT,1,"Philadelphia, PA (USA)",24 APR 1997
17:29.88,Ireland,,IRL,1,Grangemouth (GBR),17 AUG 2006
17:29.98,Nike/Bowerman Track Club B,,USA,2,"Jesuit High School Track, Portland, OR (USA)",31 JUL 2020
17:30.10,Villanova,,INT,2,"Philadelphia, PA (USA)",24 APR 1991
17:30.22,North Carolina,,INT,2,"Philadelphia, PA (USA)",24 APR 2015
17:30.38,Villanova,,INT,1,"Philadelphia, PA (USA)",28 APR 2000
17:32.30,Villanova,,INT,2,"Philadelphia, PA (USA)",25 APR 2003
17:32.53,St. Peterburg Region,,RUS,2,"Adler, Sochi (RUS)",06 SEP 2014
17:33.64,Moskva Region,,RUS,1,Sochi (RUS),17 SEP 2008
17:33.67,North Carolina,,INT,1,"Philadelphia, PA (USA)",26 APR 2002
17:33.79,Villanova,,INT,1,"Philadelphia, PA (USA)",28 APR 1995
17:34.06,Providence College,,INT,2,"Philadelphia, PA (USA)",23 APR 2004
17:34.32,Virginia,,INT,8,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023
17:34.58,Scotland,,GBR,2,Grangemouth (GBR),17 AUG 2006
17:34.63,Arkansas,,INT,1,"Philadelphia, PA (USA)",28 APR 2001
17:35.25,New Mexico,,INT,4,"Philadelphia, PA (USA)",25 APR 2014
17:36.60,Colorado,,USA,1,"Philadelphia, PA (USA)",26 APR 1996
17:36.66,Stanford,,INT,2,"Philadelphia, PA (USA)",26 APR 2002
17:36.83,Georgetown,,USA,3,"Philadelphia, PA (USA)",24 APR 2015
17:37.11,Arkansas,,INT,2,"Philadelphia, PA (USA)",28 APR 2000
17:37.15,Wisconsin,,USA,1,"Philadelphia, PA (USA)",23 APR 1999
17:37.21,Colorado,,USA,2,"Philadelphia, PA (USA)",24 APR 1997
17:37.23,North Carolina,,INT,3,"Philadelphia, PA (USA)",23 APR 2004
17:37.27,Stanford,,INT,2,"Philadelphia, PA (USA)",28 APR 2001
17:37.36,Moskva Region,,RUS,1,Sochi (RUS),12 SEP 2006
17:37.51,Villanova,,INT,1,"Philadelphia, PA (USA)",29 APR 1994
17:38.16,Stanford,,USA,1,"Philadelphia, PA (USA)",29 APR 2005
17:38.30,Georgetown,,INT,4,"Philadelphia, PA (USA)",23 APR 2004
17:38.34,Stanford,,USA,2,"Philadelphia, PA (USA)",26 APR 1996
17:39.12,Providence College,,IRL,4,"Philadelphia, PA (USA)",27 APR 1990
17:39.23,Indiana,,USA,9,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023
17:39.25,Michigan State,,USA,10,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023
17:39.26,Villanova,,INT,1,"Philadelphia, PA (USA)",26 APR 2019
17:39.43,Brigham Young University,,UND,2,"Philadelphia, PA (USA)",23 APR 1999
17:39.52,UC Irvine,,INT,3,"Philadelphia, PA (USA)",26 APR 1991
17:39.72,Wake Forest,,USA,3,"Philadelphia, PA (USA)",23 APR 1999
17:39.78,Oregon,,INT,3,"Philadelphia, PA (USA)",28 APR 2017
17:39.82,Indiana,,USA,4,"Philadelphia, PA (USA)",28 APR 2017
17:40.30,Wisconsin,,USA,1,"Philadelphia, PA (USA)",24 APR 1998
17:40.43,Michigan,,INT,2,"Philadelphia, PA (USA)",29 APR 1994
17:40.99,Georgetown,,USA,2,"Philadelphia, PA (USA)",27 APR 2012
17:41.0h,British Milers Club,,GBR,1,Watford (GBR),30 APR 1997
17:41.05,Arkansas,,INT,4,"Philadelphia, PA (USA)",23 APR 1999
17:41.05,Brigham Young University,,USA,2,"Philadelphia, PA (USA)",27 APR 2007
17:41.12,Villanova,,INT,3,"Philadelphia, PA (USA)",27 APR 2012
17:41.62,Georgetown,,INT,3,"Philadelphia, PA (USA)",24 APR 1997
17:41.74,Novosibirsk Region,,RUS,3,"Yunost Stadium, Adler, Sochi (RUS)",07 SEP 2013
17:42.13,Villanova,,INT,2,"Philadelphia, PA (USA)",29 APR 2005
17:42.40,Georgetown,,USA,3,"Philadelphia, PA (USA)",26 APR 1996
17:42.54,Reebok Enclave,,INT,1f1,"Raleigh, NC (USA)",27 MAR 1998
17:43.14,Stanford,,USA,4,"Philadelphia, PA (USA)",24 APR 1997
17:43.33,Villanova,,USA,1,"Philadelphia, PA (USA)",24 APR 1992
17:43.34,Kentucky,,USA,5,"Philadelphia, PA (USA)",23 APR 2004
17:43.39,Wisconsin,,INT,2,"Philadelphia, PA (USA)",28 APR 1989
17:43.39,G.S. Forestale,,ITA,1,Rieti (ITA),03 SEP 1995
17:44.29,Villanova,,INT,1,"Philadelphia, PA (USA)",29 APR 2016
17:44.52,Georgetown,,USA,3,"Philadelphia, PA (USA)",27 APR 2007
