Mark,Competitor,DOB,Nat,Pos,Venue,Date
3:50:42,Yelena LASHMANOVA,09 APR 1992,RUS,1.0,Voronovo (RUS),05 SEP 2020
3:57:08,Klavdiya AFANASYEVA,15 JAN 1996,RUS,1.0,Cheboksary (RUS),15 JUN 2019
3:59:15,Hong LIU,12 MAY 1987,CHN,1.0,Huangshan (CHN),09 MAR 2019
3:59:56,Margarita NIKIFOROVA,19 AUG 1998,RUS,2.0,Voronovo (RUS),05 SEP 2020
4:03:07,Margarita NIKIFOROVA,19 AUG 1998,RUS,1.0,Cheboksary (RUS),29 MAY 2021
4:03:51,Maocuo LI,20 OCT 1992,CHN,2.0,Huangshan (CHN),09 MAR 2019
4:04:36,Rui LIANG,18 JUN 1994,CHN,1.0,Taicang (CHN),05 MAY 2018
4:04:50,Eleonora Anna GIORGI,14 SEP 1989,ITA,1.0,Alytus (LTU),19 MAY 2019
4:05:46,Júlia TAKÁCS,29 JUN 1989,ESP,2.0,Alytus (LTU),19 MAY 2019
4:05:56,Inês HENRIQUES,01 MAY 1980,POR,1.0,"Olympic Stadium, London (GBR)",13 AUG 2017
4:05:58,Margarita NIKIFOROVA,19 AUG 1998,RUS,2.0,Cheboksary (RUS),15 JUN 2019
4:07:30,Faying MA,30 AUG 1993,CHN,3.0,Huangshan (CHN),09 MAR 2019
4:08:26,Inês HENRIQUES,01 MAY 1980,POR,1.0,"Circuito Urbano, Porto de Mos (POR)",15 JAN 2017
4:08:58,Hang YIN,07 FEB 1997,CHN,2.0,"Olympic Stadium, London (GBR)",13 AUG 2017
4:09:09,Hang YIN,07 FEB 1997,CHN,2.0,Taicang (CHN),05 MAY 2018
4:09:21,Inês HENRIQUES,01 MAY 1980,POR,1.0,"Olympiastadion, Berlin (GER)",07 AUG 2018
4:09:33,Claire TALLENT,06 JUL 1981,AUS,3.0,Taicang (CHN),05 MAY 2018
4:10:59,Monica SVENSSON,26 DEC 1978,SWE,1.0,Scanzorosciate (ITA),21 OCT 2007
4:11:01,Raquel GONZÁLEZ,16 NOV 1989,ESP,1.0,El Vendrell (ESP),10 FEB 2019
4:11:12,Johana ORDÓŇEZ,12 DEC 1987,ECU,1.0,Lima (PER),11 AUG 2019
4:12:16,Yelena GINKO,30 JUL 1976,BLR,1.0,Scanzorosciate (ITA),17 OCT 2004
4:12:26,Rui LIANG,18 JUN 1994,CHN,1.0,Xi'an (CHN),08 SEP 2018
4:12:44,Claire TALLENT,06 JUL 1981,AUS,,"Santee, CA (USA)",26 JAN 2019
4:12:56,Paola PÉREZ,21 DEC 1989,ECU,4.0,Taicang (CHN),05 MAY 2018
4:13:04,Júlia TAKÁCS,29 JUN 1989,ESP,1.0,Burjassot (ESP),25 FEB 2018
4:13:04,Maocuo LI,20 OCT 1992,CHN,1.0,Chifeng (CHN),03 JUL 2018
4:13:28,Faying MA,30 AUG 1993,CHN,5.0,Taicang (CHN),05 MAY 2018
