Mark,Competitor,DOB,Nat,Pos,Venue,Date
76.8,Gabriele REINSCH,23 SEP 1963,GDR,1.0,Neubrandenburg (GDR),09 JUL 1988
74.56,Zdeňka ŠILHAVÁ,15 JUN 1954,TCH,1.0,Nitra (TCH),26 AUG 1984
74.56,Ilke WYLUDDA,28 MAR 1969,GDR,1.0,Neubrandenburg (GDR),23 JUL 1989
74.44,Gabriele REINSCH,23 SEP 1963,GDR,1.0,Berlin (GER),13 SEP 1988
74.4,Ilke WYLUDDA,28 MAR 1969,GDR,2.0,Berlin (GER),13 SEP 1988
74.08,Diana GANSKY,14 DEC 1963,GDR,1.0,Karl Marx Stadt (GDR),20 JUN 1987
73.9,Diana GANSKY,14 DEC 1963,GDR,1.0,Praha (TCH),27 JUN 1987
73.42,Gabriele REINSCH,23 SEP 1963,GDR,1.0,Karl Marx Stadt (GDR),12 JUN 1988
73.36,Irina MESZYNSKI,24 MAR 1962,GDR,1.0,Praha (TCH),17 AUG 1984
73.32,Diana GANSKY,14 DEC 1963,GDR,1.0,Neubrandenburg (GDR),11 JUN 1987
73.28,Galina SAVINKOVA,15 JUL 1953,URS,1.0,Donetsk (URS),08 SEP 1984
73.26,Galina SAVINKOVA,15 JUL 1953,URS,1.0,Leselidze (URS),22 MAY 1983
73.26,Diana GANSKY,14 DEC 1963,GDR,1.0,Neubrandenburg (GDR),06 JUN 1986
73.24,Diana GANSKY,14 DEC 1963,GDR,1.0,Leipzig (GER),29 MAY 1987
73.22,Tsvetanka KHRISTOVA,14 MAR 1962,BUL,1.0,Kazanlak (BUL),19 APR 1987
73.16,Ilke WYLUDDA,28 MAR 1969,GDR,,Berlin (GER),13 SEP 1988
73.1,Gisela BEYER,16 JUL 1960,GDR,1.0,Berlin (GDR),20 JUL 1984
73.04,Diana GANSKY,14 DEC 1963,GDR,1.0,Potsdam (GDR),06 JUN 1987
73.04,Ilke WYLUDDA,28 MAR 1969,GDR,1.0,Gateshead (GBR),05 AUG 1989
72.96,Galina SAVINKOVA,15 JUL 1953,URS,1.0,Erfurt (GER),23 JUN 1985
72.94,Diana GANSKY,14 DEC 1963,GDR,2.0,Neubrandenburg (GDR),09 JUL 1988
72.92,Martina HELLMANN,12 DEC 1960,GDR,1.0,Potsdam (GDR),20 AUG 1987
72.78,Martina HELLMANN,12 DEC 1960,GDR,2.0,Neubrandenburg (GDR),11 JUN 1987
72.78,Gabriele REINSCH,23 SEP 1963,GDR,1.0,Berlin (GER),29 JUN 1988
72.72,Ilke WYLUDDA,28 MAR 1969,GDR,1.0,Neubrandenburg (GDR),23 JUN 1989
72.7,Ilke WYLUDDA,28 MAR 1969,GDR,1.0,Karl Marx Stadt (GDR),15 JUL 1988
72.54,Diana GANSKY,14 DEC 1963,GDR,1.0,Rostock (GER),25 JUN 1988
72.52,Martina HELLMANN,12 DEC 1960,GDR,1.0,Frohburg (GDR),15 JUN 1986
72.52,Tsvetanka KHRISTOVA,14 MAR 1962,BUL,1.0,Budapest (HUN),11 AUG 1986
72.44,Diana GANSKY,14 DEC 1963,GDR,1.0,Potsdam (GDR),07 JUL 1987
72.38,Diana GANSKY,14 DEC 1963,GDR,1.0,Berlin (GER),25 AUG 1987
72.36,Diana GANSKY,14 DEC 1963,GDR,1.0,Potsdam (GDR),21 MAY 1987
72.32,Martina HELLMANN,12 DEC 1960,GDR,1.0,Leipzig (GER),13 JUL 1984
72.32,Diana GANSKY,14 DEC 1963,GDR,1.0,Schwerin (GER),03 JUN 1987
72.3,Diana GANSKY,14 DEC 1963,GDR,1.0,Potsdam (GDR),22 MAY 1986
72.3,Diana GANSKY,14 DEC 1963,GDR,1.0,Erfurt (GER),01 JUN 1986
72.3,Martina HELLMANN,12 DEC 1960,GDR,1.0,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988
72.28,Gisela BEYER,16 JUL 1960,GDR,1.0,Berlin (GER),15 JUL 1984
72.24,Ilke WYLUDDA,28 MAR 1969,GDR,3.0,Neubrandenburg (GDR),09 JUL 1988
72.18,Ilke WYLUDDA,28 MAR 1969,GDR,1.0,Macerata (ITA),05 SEP 1989
72.14,Galina MURAŠOVA,22 DEC 1955,URS,2.0,Praha (TCH),17 AUG 1984
72.12,Diana GANSKY,14 DEC 1963,GDR,1.0,Tallinn (EST),21 JUN 1986
72.12,Martina HELLMANN,12 DEC 1960,GDR,2.0,Leipzig (GER),29 MAY 1987
72.02,Irina MESZYNSKI,24 MAR 1962,GDR,2.0,Berlin (GDR),20 JUL 1984
72.02,Martina HELLMANN,12 DEC 1960,GDR,1.0,Chania (GRE),22 MAY 1988
72.0,Zdeňka ŠILHAVÁ,15 JUN 1954,TCH,1.0,Litomyšl (TCH),28 JUL 1984
71.98,Ilke WYLUDDA,28 MAR 1969,GDR,2.0,Karl Marx Stadt (GDR),12 JUN 1988
71.9,Tsvetanka KHRISTOVA,14 MAR 1962,BUL,1.0,Stara Zagora (BUL),19 JUL 1986
71.88,Ilke WYLUDDA,28 MAR 1969,GDR,1.0,Athina (GRE),16 MAY 1988
71.88,Gabriele REINSCH,23 SEP 1963,GDR,2.0,Rostock (GER),25 JUN 1988
71.88,Diana GANSKY,14 DEC 1963,GDR,2.0,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988
71.86,Gabriele REINSCH,23 SEP 1963,GDR,2.0,Neubrandenburg (GDR),23 JUN 1989
71.8,Mariya PETKOVA,03 NOV 1950,BUL,1.0,Sofia (BUL),13 JUL 1980
71.8,Tsvetanka KHRISTOVA,14 MAR 1962,BUL,1.0,Bratislava (TCH),14 JUN 1986
71.68,Zdeňka ŠILHAVÁ,15 JUN 1954,TCH,1.0,Praha (TCH),15 MAY 1988
71.68,Yanling XIAO,27 MAR 1968,CHN,1.0,Beijing (CHN),14 MAR 1992
71.64,Ilke WYLUDDA,28 MAR 1969,GDR,2.0,Potsdam (GDR),20 AUG 1987
71.64,Gabriele REINSCH,23 SEP 1963,GDR,1.0,Potsdam (GDR),12 MAY 1988
71.64,Diana GANSKY,14 DEC 1963,GDR,2.0,Athina (GRE),16 MAY 1988
71.64,Gabriele REINSCH,23 SEP 1963,GDR,1.0,Jena (GDR),04 JUN 1988
71.64,Zdeňka ŠILHAVÁ,15 JUN 1954,TCH,1.0,Litomyšl (TCH),06 AUG 1988
71.62,Martina HELLMANN,12 DEC 1960,GDR,1.0,"Stadio Olimpico, Roma (ITA)",31 AUG 1987
71.6,Martina HELLMANN,12 DEC 1960,GDR,3.0,Berlin (GDR),20 JUL 1984
71.58,Ellina ZVEREVA,16 NOV 1960,URS,1.0,Leningrad (URS),12 JUN 1988
71.54,Ilke WYLUDDA,28 MAR 1969,GDR,1.0,Rostock (GER),29 MAY 1988
71.54,Ilke WYLUDDA,28 MAR 1969,GDR,1.0,"Estadio Olímpico, Barcelona (ESP)",10 SEP 1989
71.5,Evelin JAHL,28 MAR 1956,GDR,1.0,Potsdam (GDR),10 MAY 1980
71.5,Diana GANSKY,14 DEC 1963,GDR,3.0,Potsdam (GDR),20 AUG 1987
71.46,Evelin JAHL,28 MAR 1956,GDR,1.0,Berlin (GER),10 JUN 1981
71.46,Valarie ALLMAN,23 FEB 1995,USA,1.0,"Triton Stadium, San Diego, CA (USA)",08 APR 2022
71.41,Sandra PERKOVIĆ,21 JUN 1990,CRO,1.0,Bellinzona (SUI),18 JUL 2017
71.4,Irina MESZYNSKI,24 MAR 1962,GDR,1.0,Karl Marx Stadt (GDR),10 JUL 1982
71.38,Martina HELLMANN,12 DEC 1960,GDR,4.0,Neubrandenburg (GDR),09 JUL 1988
71.38,Sandra PERKOVIĆ,21 JUN 1990,CRO,1.0,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018
71.36,Diana GANSKY,14 DEC 1963,GDR,1.0,"Neckarstadion, Stuttgart (GER)",28 AUG 1986
71.3,Mariya PETKOVA,03 NOV 1950,BUL,1.0,Sofia (BUL),01 AUG 1981
71.3,Larisa KOROTKEVICH,03 JAN 1967,RUS,1.0,Sochi (RUS),29 MAY 1992
71.26,Martina HELLMANN,12 DEC 1960,GDR,2.0,Jena (GDR),04 JUN 1988
71.22,Ria STALMAN,11 DEC 1951,NED,1.0,"Walnut, CA (USA)",15 JUL 1984
71.22,Mariya PETKOVA,03 NOV 1950,BUL,1.0,Sofia (BUL),29 JUL 1984
71.22,Ellina ZVEREVA,16 NOV 1960,URS,1.0,Leselidze (URS),22 MAY 1988
71.2,Mariya PETKOVA,03 NOV 1950,BUL,1.0,Sofia (BUL),28 AUG 1982
71.18,Galina SAVINKOVA,15 JUL 1953,URS,1.0,Bucureşti (ROU),16 SEP 1984
71.16,Valarie ALLMAN,23 FEB 1995,USA,1.0,"Olympiastadion, Berlin (GER)",12 SEP 2021
71.12,Ellina ZVEREVA,16 NOV 1960,URS,1.0,Sochi (URS),31 MAY 1988
71.1,Ilke WYLUDDA,28 MAR 1969,GDR,1.0,Tel Aviv (ISR),27 MAY 1990
71.08,Sandra PERKOVIĆ,21 JUN 1990,CRO,1.0,"Letzigrund, Zürich (SUI)",16 AUG 2014
71.06,Tsvetanka KHRISTOVA,14 MAR 1962,BUL,1.0,Stara Zagora (BUL),28 AUG 1988
71.04,Ilke WYLUDDA,28 MAR 1969,GDR,1.0,Berlin (GER),05 JUL 1989
71.02,Gisela BEYER,16 JUL 1960,GDR,1.0,Split (CRO),30 APR 1984
71.02,Martina HELLMANN,12 DEC 1960,GDR,1.0,Jena (GDR),28 JUN 1986
71.02,Diana GANSKY,14 DEC 1963,GDR,3.0,Karl Marx Stadt (GDR),12 JUN 1988
