Mark,Competitor,DOB,Nat,Pos,Venue,Date,WIND
15.67,Yulimar ROJAS,21 OCT 1995,VEN,1,"National Stadium, Tokyo (JPN)",01 AUG 2021,0.7
15.52,Yulimar ROJAS,21 OCT 1995,VEN,,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,0.6
15.5,Inessa KRAVETS,05 OCT 1966,UKR,1,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,0.9
15.48,Yulimar ROJAS,21 OCT 1995,VEN,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,0.3
15.47,Yulimar ROJAS,21 OCT 1995,VEN,1,"Hayward Field, Eugene, OR (USA)",18 JUL 2022,1.9
15.43,Yulimar ROJAS,21 OCT 1995,VEN,1,"Polideportivo Municipal, Andújar (ESP)",22 MAY 2021,0.7
15.41,Yulimar ROJAS,21 OCT 1995,VEN,1,Andújar (ESP),06 SEP 2019,1.5
15.39,Francoise MBANGO ETONE,14 APR 1976,CMR,1,"National Stadium, Beijing (CHN)",17 AUG 2008,0.5
15.37,Yulimar ROJAS,21 OCT 1995,VEN,1,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,-0.6
15.34,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Herakleion (GRE),04 JUL 2004,-0.5
15.33,Inessa KRAVETS,05 OCT 1966,UKR,1,"Olympic Stadium, Atlanta, GA (USA)",31 JUL 1996,-0.1
15.33,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2004,1.2
15.32,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Yokohama (JPN),09 SEP 2000,0.5
15.32,Chrysopigi DEVETZI,02 JAN 1976,GRE,1q1,"Olympic Stadium, Athina (GRE)",21 AUG 2004,0.9
15.31,Caterine IBARGUEN,12 FEB 1984,COL,1,"Stade Louis II, Monaco (MON)",18 JUL 2014,0.0
15.31,Yulimar ROJAS,21 OCT 1995,VEN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,-0.2
15.3,Francoise MBANGO ETONE,14 APR 1976,CMR,1,"Olympic Stadium, Athina (GRE)",23 AUG 2004,0.5
15.29,Yamilé ALDAMA,14 AUG 1972,CUB,1,"Stadio Olimpico, Roma (ITA)",11 JUL 2003,0.3
15.28,Yamilé ALDAMA,14 AUG 1972,SUD,1,Linz (AUT),02 AUG 2004,0.3
15.28,Yargelis SAVIGNE,13 NOV 1984,CUB,1,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,0.9
15.28,Yulimar ROJAS,21 OCT 1995,VEN,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,-0.2
15.27,Yamilé ALDAMA,14 AUG 1972,CUB,1,"Crystal Palace, London (GBR)",08 AUG 2003,1.2
15.25,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Commonwealth Stadium, Edmonton (CAN)",10 AUG 2001,-0.8
15.25,Chrysopigi DEVETZI,02 JAN 1976,GRE,2,"Olympic Stadium, Athina (GRE)",23 AUG 2004,-0.1
15.25,Olga RYPAKOVA,30 NOV 1984,KAZ,1,"Poljud Stadion, Split (CRO)",04 SEP 2010,1.7
15.23,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Rethymno (GRE),23 JUN 2004,0.8
15.23,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Olympic Stadium, Athina (GRE)",03 JUL 2006,0.6
15.21,Yamilé ALDAMA,14 AUG 1972,SUD,2,Rethymno (GRE),23 JUN 2004,1.2
15.2,Šárka KAŠPÁRKOVÁ,20 MAY 1971,CZE,1,"Olympic Stadium, Athina (GRE)",04 AUG 1997,0.0
15.2,Tereza MARINOVA,25 SEP 1977,BUL,1,"Olympic Stadium, Sydney (AUS)",24 SEP 2000,-0.3
15.2,Yargelis SAVIGNE,13 NOV 1984,CUB,1,Rethymno (GRE),14 JUL 2008,1.3
15.19,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,0.5
15.19,Yulimar ROJAS,21 OCT 1995,VEN,,"Estadio Vallehermoso, Madrid (ESP)",19 JUN 2021,1.4
15.18,Iva PRANDZHEVA,15 FEB 1972,BUL,2,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,0.3
15.18,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stade de France, Paris-St-Denis (FRA)",26 AUG 2003,-0.2
15.17,Caterine IBARGUEN,12 FEB 1984,COL,1,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,0.4
15.16,Rodica MATEESCU,13 MAR 1971,ROU,2,"Olympic Stadium, Athina (GRE)",04 AUG 1997,0.1
15.16,Trecia Kaye SMITH,05 NOV 1975,JAM,2,Linz (AUT),02 AUG 2004,0.7
15.15,Ashia HANSEN,05 DEC 1971,GBR,1,Fukuoka (JPN),13 SEP 1997,1.7
15.15,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Ullevi Stadium, Göteborg (SWE)",09 AUG 2006,1.4
15.15,Yulimar ROJAS,21 OCT 1995,VEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,2.0
15.14,Rodica MATEESCU,13 MAR 1971,ROU,1,Bucureşti (ROU),14 JUN 1997,-0.1
15.14,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,0.3
15.14,Tatyana LEBEDEVA,21 JUL 1976,RUS,3,"Olympic Stadium, Athina (GRE)",23 AUG 2004,0.7
15.14,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Olympic Stadium, Athina (GRE)",02 JUL 2007,0.9
15.14,Nadezhda ALYOKHINA,22 SEP 1978,RUS,1,Cheboksary (RUS),26 JUL 2009,1.9
15.14,Yulimar ROJAS,21 OCT 1995,VEN,1,Ibiza (ESP),08 MAY 2021,2.0
15.13,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stade Louis II, Monaco (MON)",13 SEP 2003,0.1
15.13,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Olympic Stadium, Athina (GRE)",16 SEP 2006,1.4
15.12,Iva PRANDZHEVA,15 FEB 1972,BUL,1,Tokyo (JPN),19 SEP 1998,2.0
15.12,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Paris (FRA),04 JUL 2003,-0.9
15.12,Yulimar ROJAS,21 OCT 1995,VEN,2,"Stade Louis II, Monaco (MON)",09 JUL 2021,0.0
15.11,Yamilé ALDAMA,14 AUG 1972,CUB,1,Oslo (NOR),27 JUN 2003,0.1
15.11,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Paris (FRA),01 JUL 2005,-0.2
15.11,Trecia Kaye SMITH,05 NOV 1975,JAM,1,"Olympiastadion, Helsinki (FIN)",07 AUG 2005,0.8
15.11,Olga RYPAKOVA,30 NOV 1984,KAZ,2,"National Stadium, Beijing (CHN)",17 AUG 2008,0.3
15.11,Yulimar ROJAS,21 OCT 1995,VEN,1,Lima (PER),09 AUG 2019,0.6
15.1,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stade Louis II, Monaco (MON)",25 JUL 2007,0.4
15.09,Anna BIRYUKOVA,27 SEP 1967,RUS,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,0.5
15.09,Inna LASOVSKAYA,17 DEC 1969,RUS,1,Valencia (ESP),31 MAY 1997,-0.5
15.09,Yargelis SAVIGNE,13 NOV 1984,CUB,1,Alcalá de Henáres (ESP),07 JUL 2007,2.0
15.09,Yargelis SAVIGNE,13 NOV 1984,CUB,1,"Stade Louis II, Monaco (MON)",22 JUL 2010,0.2
15.08,Anna BIRYUKOVA,27 SEP 1967,RUS,3,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1.4
15.08,Inna LASOVSKAYA,17 DEC 1969,RUS,1,Madrid (ESP),12 JUN 1996,0.7
15.08,Yamilé ALDAMA,14 AUG 1972,CUB,2,Paris (FRA),04 JUL 2003,0.3
15.07,Paraskevi TSIAMITA,10 MAR 1972,GRE,1q1,"La Cartuja, Sevilla (ESP)",22 AUG 1999,-0.6
15.07,Tatyana LEBEDEVA,21 JUL 1976,RUS,2,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,0.8
15.06,Yulimar ROJAS,21 OCT 1995,VEN,1,Huelva (ESP),20 JUN 2019,1.1
15.05,Francoise MBANGO ETONE,14 APR 1976,CMR,2,"Stade de France, Paris-St-Denis (FRA)",26 AUG 2003,-0.7
15.05,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2005,0.9
15.05,Trecia Kaye SMITH,05 NOV 1975,JAM,1,Helsinki (FIN),26 JUL 2006,0.2
15.05,Chrysopigi DEVETZI,02 JAN 1976,GRE,2,"Ullevi Stadium, Göteborg (SWE)",09 AUG 2006,0.9
15.05,Yargelis SAVIGNE,13 NOV 1984,CUB,3,"National Stadium, Beijing (CHN)",17 AUG 2008,0.1
15.05,Yulimar ROJAS,21 OCT 1995,VEN,1,"Stade Charléty, Paris (FRA)",24 AUG 2019,-0.7
15.04,Iva PRANDZHEVA,15 FEB 1972,BUL,1,Sofia (BUL),17 JUN 2000,0.9
15.04,Chrysopigi DEVETZI,02 JAN 1976,GRE,2,"Olympic Stadium, Athina (GRE)",16 SEP 2006,0.3
15.04,Yekaterina KONEVA,25 SEP 1988,RUS,2,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1.7
15.04,Caterine IBARGUEN,12 FEB 1984,COL,1,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2016,1.5
15.03,Anna BIRYUKOVA,27 SEP 1967,RUS,1,Zürich (SUI),16 AUG 1995,0.0
15.03,Francoise MBANGO ETONE,14 APR 1976,CMR,1,Lappeenranta (FIN),03 AUG 2003,1.3
15.03,Magdelín MARTÍNEZ,10 FEB 1976,ITA,1,Roma (ITA),25 JUN 2004,1.9
15.03,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,0.6
15.03,Marija ŠESTAK,17 APR 1979,SLO,4,"National Stadium, Beijing (CHN)",17 AUG 2008,1.1
15.02,Trecia Kaye SMITH,05 NOV 1975,JAM,4,"Olympic Stadium, Athina (GRE)",23 AUG 2004,0.5
15.02,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Madrid (ESP),17 JUL 2006,1.3
15.02,Anna PYATYKH,04 APR 1981,RUS,3,"Ullevi Stadium, Göteborg (SWE)",09 AUG 2006,0.9
15.02,Yargelis SAVIGNE,13 NOV 1984,CUB,1,Villeneuve d'Ascq (FRA),27 JUN 2008,1.1
15.02,Yulimar ROJAS,21 OCT 1995,VEN,1,"Moratalaz, Madrid (ESP)",23 JUN 2016,-0.4
15.02,Maryna BEKH-ROMANCHUK,18 JUL 1995,UKR,1,"Olympiastadion, München (GER)",19 AUG 2022,1.9
15.01,Rodica MATEESCU,13 MAR 1971,ROU,1,Lille (FRA),11 JUL 1998,1.9
15.01,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Chania (GRE),14 JUN 2000,1.1
15.01,Francoise MBANGO ETONE,14 APR 1976,CMR,1,"Stade Louis II, Monaco (MON)",19 SEP 2004,0.0
15.01,Patrícia MAMONA,21 NOV 1988,POR,2,"National Stadium, Tokyo (JPN)",01 AUG 2021,1.0
15.01,Yulimar ROJAS,21 OCT 1995,VEN,1,"Stade Louis II, Monaco (MON)",10 AUG 2022,-1.0
15.0,Tatyana LEBEDEVA,21 JUL 1976,RUS,2,"Olympic Stadium, Sydney (AUS)",24 SEP 2000,1.3
15.0,Yamilé ALDAMA,14 AUG 1972,CUB,1,Ostrava (CZE),12 JUN 2003,0.0
15.0,Yamilé ALDAMA,14 AUG 1972,CUB,1,Trikala (GRE),24 JUN 2003,0.4
15.0,Tatyana LEBEDEVA,21 JUL 1976,RUS,2,Trikala (GRE),24 JUN 2003,0.6
15.0,Yamilé ALDAMA,14 AUG 1972,CUB,2,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,0.2
15.0,Kéne NDOYE,20 NOV 1978,SEN,2,Herakleion (GRE),04 JUL 2004,1.2
15.0,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Torino (ITA),06 JUN 2006,1.2
15.0,Yargelis SAVIGNE,13 NOV 1984,CUB,1,"Olympic Stadium, Athina (GRE)",13 JUL 2009,1.1
14.99,Anna BIRYUKOVA,27 SEP 1967,RUS,1,"Stade Louis II, Monaco (MON)",09 SEP 1995,-0.2
14.99,Tatyana LEBEDEVA,21 JUL 1976,RUS,2,"Crystal Palace, London (GBR)",08 AUG 2003,0.7
14.99,Yamilé ALDAMA,14 AUG 1972,CUB,2,"Stade Louis II, Monaco (MON)",13 SEP 2003,0.1
14.99,Yamilé ALDAMA,14 AUG 1972,SUD,5,"Olympic Stadium, Athina (GRE)",23 AUG 2004,-0.1
14.99,Yargelis SAVIGNE,13 NOV 1984,CUB,1,Caracas (VEN),11 MAY 2007,0.7
14.99,Yargelis SAVIGNE,13 NOV 1984,CUB,1q1,"National Stadium, Beijing (CHN)",15 AUG 2008,-0.3
14.99,Yargelis SAVIGNE,13 NOV 1984,CUB,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 2010,0.7
14.99,Yargelis SAVIGNE,13 NOV 1984,CUB,1,Paris (FRA),08 JUL 2011,-0.1
14.99,Caterine IBARGUEN,12 FEB 1984,COL,1,Bogotá (COL),13 AUG 2011,1.7
14.99,Olha SALADUKHA,04 JUN 1983,UKR,1,"Olympiastadion, Helsinki (FIN)",29 JUN 2012,0.2
14.98,Sofiya BOZHANOVA,04 OCT 1967,BUL,1,Stara Zagora (BUL),16 JUL 1994,1.8
