Mark,Competitor,DOB,Nat,Pos,Venue,Date
82.98,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Stadion PGE Narodowy, Warszawa (POL)",28 AUG 2016
82.87,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Stadion OPO Cetniewo, Władysławowo (POL)",29 JUL 2017
82.29,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Estádio Olímpico, Rio de Janeiro (BRA)",15 AUG 2016
81.08,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Stadion OPO Cetniewo, Władysławowo (POL)",01 AUG 2015
80.85,Anita WŁODARCZYK,08 AUG 1985,POL,1,"National Stadium, Beijing (CHN)",27 AUG 2015
80.79,Anita WŁODARCZYK,08 AUG 1985,POL,1,Białystok (POL),23 JUL 2017
80.31,DeAnna PRICE,08 JUN 1993,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021
80.26,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Stadion OPO Cetniewo, Władysławowo (POL)",12 JUL 2016
80.17,Brooke ANDERSEN,23 AUG 1995,USA,1,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",20 MAY 2023
79.8,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Stadion PGE Narodowy, Warszawa (POL)",15 AUG 2017
79.8,Brooke ANDERSEN,23 AUG 1995,USA,1,"UVA Lanningan Field, Charlottesville, VA (USA)",20 APR 2023
79.73,Anita WŁODARCZYK,08 AUG 1985,POL,1,Doha (QAT),06 MAY 2017
79.72,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Mestský Stadion, Ostrava (CZE)",27 JUN 2017
79.61,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",18 JUN 2016
79.59,Anita WŁODARCZYK,08 AUG 1985,POL,1,Lublin (POL),22 JUL 2018
79.58,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Olympiastadion, Berlin (GER)",31 AUG 2014
79.48,Anita WŁODARCZYK,08 AUG 1985,POL,1f1,Halle (GER),21 MAY 2016
79.45,Anita WŁODARCZYK,08 AUG 1985,POL,1,Forbach (FRA),29 MAY 2016
79.42,Betty HEIDLER,14 OCT 1983,GER,1f1,Halle (GER),21 MAY 2011
79.02,Brooke ANDERSEN,23 AUG 1995,USA,1,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",30 APR 2022
78.96,Brooke ANDERSEN,23 AUG 1995,USA,1,"Hayward Field, Eugene, OR (USA)",17 JUL 2022
78.94,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Olympiastadion, Berlin (GER)",12 AUG 2018
78.79,Brooke ANDERSEN,23 AUG 1995,USA,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",06 JUN 2023
78.76,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Letzigrund, Zürich (SUI)",15 AUG 2014
78.74,Anita WŁODARCZYK,08 AUG 1985,POL,1,London (GBR),14 JUL 2018
78.69,Brooke ANDERSEN,23 AUG 1995,USA,1,"Drake Stadium, Des Moines, IA (USA)",27 APR 2023
78.62,Camryn ROGERS,07 JUN 1999,CAN,1,"Drake Stadium, Los Angeles, CA (USA)",26 MAY 2023
78.6,DeAnna PRICE,08 JUN 1993,USA,1,"Audrey J. Walton Stadium, Warrensburg, MO (USA)",09 APR 2021
78.54,Anita WŁODARCZYK,08 AUG 1985,POL,1,"Mestský Stadion, Ostrava (CZE)",19 MAY 2016
78.51,Tatyana LYSENKO,09 OCT 1983,RUS,1,Cheboksary (RUS),05 JUL 2012
