Mark,Competitor,DOB,Nat,Pos,Venue,Date
2.09,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,"Stadio Olimpico, Roma (ITA)",30 AUG 1987
2.08,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Sofia (BUL),31 MAY 1986
2.08,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Zagreb (CRO),31 AUG 2009
2.07,Lyudmila ANDONOVA,06 MAY 1960,BUL,1,Berlin (GDR),20 JUL 1984
2.07,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Sofia (BUL),25 MAY 1986
2.07,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Cagliari (ITA),16 SEP 1987
2.07,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Sofia (BUL),03 SEP 1988
2.07,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Stockholm (SWE),07 AUG 2007
2.07,Anna CHICHEROVA,22 JUL 1982,RUS,1,Cheboksary (RUS),22 JUL 2011
2.06,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Moskva (URS),18 AUG 1985
2.06,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Fürth (GER),15 JUN 1986
2.06,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Cagliari (ITA),14 SEP 1986
2.06,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Wörrstadt (GER),06 JUN 1987
2.06,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Rieti (ITA),08 SEP 1987
2.06,Kajsa BERGQVIST,12 OCT 1976,SWE,1,Eberstadt (GER),26 JUL 2003
2.06,Hestrie CLOETE,26 AUG 1978,RSA,1,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003
2.06,Yelena SLESARENKO,28 FEB 1982,RUS,1,"Olympic Stadium, Athina (GRE)",28 AUG 2004
2.06,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Thessaloniki (GRE),30 JUL 2007
2.06,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Istanbul (TUR),22 JUN 2008
2.06,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Madrid (ESP),05 JUL 2008
2.06,Ariane FRIEDRICH,10 JAN 1984,GER,1,"Olympiastadion, Berlin (GER)",14 JUN 2009
2.06,Mariya LASITSKENE,14 JAN 1993,ANA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017
2.06,Mariya LASITSKENE,14 JAN 1993,ANA,1,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019
2.05,Tamara BYKOVA,21 DEC 1958,URS,1,Kiev (URS),22 JUN 1984
2.05,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Wörrstadt (GER),14 JUN 1986
2.05,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Rieti (ITA),07 SEP 1986
2.05,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Oslo (NOR),04 JUL 1987
2.05,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Padova (ITA),13 SEP 1987
2.05,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Budapest (HUN),12 AUG 1988
2.05,Heike HENKEL,05 MAY 1964,GER,1,"National Stadium, Tokyo (JPN)",31 AUG 1991
2.05,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,San Marino (SMR),04 JUL 1992
2.05,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,Fukuoka (JPN),18 SEP 1993
2.05,Inga BABAKOVA,27 JUN 1967,UKR,1,Tokyo (JPN),15 SEP 1995
2.05,Stefka KOSTADINOVA,25 MAR 1965,BUL,1,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996
2.05,Kajsa BERGQVIST,12 OCT 1976,SWE,1,Poznan (POL),18 AUG 2002
2.05,Hestrie CLOETE,26 AUG 1978,RSA,1,"Olympiastadion, Berlin (GER)",10 AUG 2003
2.05,Kajsa BERGQVIST,12 OCT 1976,SWE,1,"Crystal Palace, London (GBR)",28 JUL 2006
2.05,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Madrid (ESP),21 JUL 2007
2.05,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,"Yanmar Stadium Nagai, Osaka (JPN)",02 SEP 2007
2.05,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Ostrava (CZE),12 JUN 2008
2.05,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",01 JUL 2008
2.05,Tia HELLEBAUT,16 FEB 1978,BEL,1,"National Stadium, Beijing (CHN)",23 AUG 2008
2.05,Blanka VLAŠIĆ,08 NOV 1983,CRO,2,"National Stadium, Beijing (CHN)",23 AUG 2008
2.05,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,Doha (QAT),08 MAY 2009
2.05,Chaunte LOWE,12 JAN 1984,USA,1,"Drake Stadium, Des Moines, IA (USA)",26 JUN 2010
2.05,Blanka VLAŠIĆ,08 NOV 1983,CRO,1,"Poljud Stadion, Split (CRO)",05 SEP 2010
2.05,Anna CHICHEROVA,22 JUL 1982,RUS,1,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011
2.05,Anna CHICHEROVA,22 JUL 1982,RUS,1,"Olympic Stadium, London (GBR)",11 AUG 2012
2.05,Mariya LASITSKENE,14 JAN 1993,ANA,1,"Stade Louis II, Monaco (MON)",21 JUL 2017
