Mark,Competitor,DOB,Nat,Pos,Venue,Date
22.63,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Moskva (URS),07 JUN 1987
22.6,Natalya LISOVSKAYA,16 JUL 1962,URS,,Moskva (URS),07 JUN 1987
22.55,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Tallinn (EST),05 JUL 1988
22.53,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Sochi (URS),27 MAY 1984
22.53,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Kiev (URS),14 AUG 1988
22.45,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),11 MAY 1980
22.41,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,"Lenin Stadium, Moskva (URS)",24 JUL 1980
22.4,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),03 JUN 1983
22.38,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Karl Marx Stadt (GDR),25 MAY 1980
22.36,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Celje (SLO),02 MAY 1980
22.34,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),07 MAY 1980
22.34,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Cottbus (GER),18 JUL 1980
22.32,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Nitra (TCH),20 AUG 1977
22.24,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988
22.22,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),13 JUL 1980
22.19,Claudia LOSCH,10 JAN 1960,FRG,1.0,Hainfeld (AUT),23 AUG 1987
22.13,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Split (CRO),29 APR 1980
22.06,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Moskva (URS),06 AUG 1988
22.05,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),28 MAY 1980
22.05,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),31 MAY 1980
22.04,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),04 JUL 1979
22.04,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),29 JUL 1979
21.99,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Opava (TCH),26 SEP 1976
21.98,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),17 JUL 1979
21.96,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Ostrava (TCH),08 JUN 1977
21.96,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Praha (TCH),16 AUG 1984
21.96,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Vilnius (LTU),28 AUG 1988
21.95,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Edinburgh (GBR),29 JUL 1988
21.92,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Sochi (URS),01 JUN 1988
21.91,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,München (GER),17 JUN 1977
21.89,Ivanka KHRISTOVA,19 NOV 1941,BUL,1.0,Belmeken (BUL),04 JUL 1976
21.87,Ivanka KHRISTOVA,19 NOV 1941,BUL,1.0,Belmeken (BUL),03 JUL 1976
21.87,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Fürth (GER),10 JUN 1978
21.87,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Sofia (BUL),22 MAY 1983
21.86,Marianne ADAM,19 SEP 1951,GDR,1.0,Leipzig (GER),23 JUN 1979
21.86,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Praha (TCH),09 JUN 1984
21.85,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),15 JUL 1984
21.81,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,"Los Angeles, CA (USA)",26 JUN 1983
21.8,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),18 AUG 1982
21.78,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Jena (GDR),17 MAY 1980
21.78,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Dresden (GER),01 JUL 1982
21.76,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Praha (TCH),25 AUG 1978
21.76,Meisu LI,17 APR 1959,CHN,1.0,Shijiazhuang (CHN),23 APR 1988
21.75,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Düsseldorf (GER),01 JUL 1977
21.75,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),09 JUL 1980
21.75,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),19 MAY 1983
21.75,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Sochi (URS),20 MAY 1984
21.74,Ilona SLUPIANEK,24 SEP 1956,GDR,2.0,Leipzig (GER),23 JUN 1979
21.73,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),31 JUL 1983
21.73,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Erfurt (GER),23 JUN 1985
21.73,Natalya AKHRIMENKO,12 MAY 1955,URS,1.0,Leselidze (URS),21 MAY 1988
21.73,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Portsmouth (GBR),19 JUN 1988
21.72,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Cottbus (GER),25 JUN 1982
21.72,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),05 MAY 1983
21.72,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Kiev (URS),20 JUN 1984
21.71,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),12 MAY 1983
21.7,Natalya LISOVSKAYA,16 JUL 1962,URS,1.0,Tallinn (EST),21 JUN 1986
21.69,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Rostock (GER),29 JUN 1979
21.69,Vita PAVLYSH,15 JAN 1969,UKR,1.0,"Népstadion, Budapest (HUN)",20 AUG 1998
21.67,Marianne ADAM,19 SEP 1951,GDR,1.0,Karl Marx Stadt (GDR),30 MAY 1976
21.67,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Karl Marx Stadt (GDR),09 JUL 1982
21.66,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Budapest (HUN),19 JUN 1976
21.66,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Budapest (HUN),16 SEP 1976
21.66,Xinmei SUI,29 JAN 1965,CHN,1.0,Beijing (CHN),09 JUN 1990
21.65,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,München (GER),10 SEP 1978
21.65,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Berlin (GER),08 JUN 1983
21.62,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Liberec (TCH),11 JUL 1977
21.61,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),29 AUG 1981
21.61,Verzhiniya VESELINOVA,18 NOV 1957,BUL,1.0,Sofia (BUL),21 AUG 1982
21.61,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,Potsdam (GDR),21 JUL 1984
21.6,Marianne ADAM,19 SEP 1951,GDR,1.0,Berlin (GDR),06 AUG 1975
21.6,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Rehlingen (GER),15 MAY 1978
21.6,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Bratislava (TCH),09 JUN 1978
21.6,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1.0,Zaragoza (ESP),03 JUN 1984
21.59,Ilona SLUPIANEK,24 SEP 1956,GDR,1.0,"Olympic Stadium, Athina (GRE)",06 SEP 1982
21.59,Natalya LISOVSKAYA,16 JUL 1962,URS,2.0,Potsdam (GDR),21 JUL 1984
