Mark,Competitor,DOB,Nat,Pos,Venue,Date
7291,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988
7007,Larisa NIKITINA,29 APR 1965,URS,1,Bryansk (URS),11 JUN 1989
6947,Nafissatou THIAM,19 AUG 1994,BEL,1,"Hayward Field, Eugene, OR (USA)",18 JUL 2022
6887,Carolina KLÜFT,02 FEB 1983,SWE,1,"Olympiastadion, Helsinki (FIN)",07 AUG 2005
6841,Jackie JOYNER,03 MAR 1962,USA,1,Götzis (AUT),25 MAY 1986
6820,Carolina KLÜFT,02 FEB 1983,SWE,1,Götzis (AUT),30 MAY 2004
6805,Anke BEHMER,05 JUN 1961,GDR,1,Götzis (AUT),19 JUN 1988
6778,Nataliya DOBRYNSKA,29 MAY 1982,UKR,2,"Estadio Olímpico, Barcelona (ESP)",31 JUL 2010
6755,Eunice BARBER,17 NOV 1974,FRA,2,"Stade de France, Paris-St-Denis (FRA)",24 AUG 2003
6736,Eunice BARBER,17 NOV 1974,FRA,1,Götzis (AUT),27 MAY 2001
6719,Carolina KLÜFT,02 FEB 1983,SWE,1,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006
6696,Carolin SCHÄFER,05 DEC 1991,GER,2,"Olympic Stadium, London (GBR)",06 AUG 2017
6691,Katarina JOHNSON-THOMPSON,09 JAN 1993,GBR,4,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017
6682,Katarina JOHNSON-THOMPSON,09 JAN 1993,GBR,1,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014
6669,Jessica ENNIS-HILL,28 JAN 1986,GBR,1,"National Stadium, Beijing (CHN)",23 AUG 2015
6663,Jennifer OESER,29 NOV 1983,GER,1,"Stadionring, Ratingen (GER)",17 JUL 2011
6649,Sabine BRAUN,19 JUN 1965,GER,3,"Estadio Olímpico, Barcelona (ESP)",02 AUG 1992
6633,Natalya ROSHCHUPKINA,13 JAN 1978,RUS,2,Tula (RUS),23 JUL 2000
6619,Xénia KRIZSÁN,13 JAN 1993,HUN,2,"Stade Pierre Paul Bernard, Talence (FRA)",23 JUN 2019
6604,Sabine BRAUN,19 JUN 1965,FRG,1,Götzis (AUT),17 JUN 1990
6597,Brianne THEISEN-EATON,18 DEC 1986,CAN,1,"Hampden Park, Glasgow (GBR)",30 JUL 2014
6590,Emma OOSTERWEGEL,29 JUN 1998,NED,3,"National Stadium, Tokyo (JPN)",05 AUG 2021
6580,Claudia SALMAN-RATH,25 APR 1986,GER,5,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017
6572,Heike TISCHLER,04 FEB 1964,GDR,2,"Poljud Stadion, Split (CRO)",31 AUG 1990
6564,Kendell WILLIAMS,14 JUN 1995,USA,1,"Sacramento, CA (USA)",25 JUN 2017
6557,Erica BOUGARD,26 JUL 1993,USA,2,"Sacramento, CA (USA)",25 JUN 2017
6547,Kelly SOTHERTON,13 NOV 1976,GBR,2,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005
6540,Carolin SCHÄFER,05 DEC 1991,GER,5,"Estádio Olímpico, Rio de Janeiro (BRA)",13 AUG 2016
6532,Adrianna SUŁEK,03 APR 1999,POL,2,"Olympiastadion, München (GER)",18 AUG 2022
6527,Diane GUTHRIE-GRESHAM,24 OCT 1971,JAM,1,"Knoxville, TN (USA)",03 JUN 1995
6520,Jessica ENNIS-HILL,28 JAN 1986,GBR,4,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015
6513,Denise LEWIS,27 AUG 1972,GBR,1,Kuala Lumpur (MAS),17 SEP 1998
6505,Eunice BARBER,17 NOV 1974,FRA,1,Praha (CZE),04 JUL 1999
6498,Nadine BROERSEN,29 APR 1990,NED,2,"Letzigrund, Zürich (SUI)",15 AUG 2014
6494,Barbara NWABA,18 JAN 1989,USA,1,"Hayward Field, Eugene, OR (USA)",10 JUL 2016
6491,Nafissatou THIAM,19 AUG 1994,BEL,4,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016
6480,Jessica ZELINKA,03 SEP 1981,CAN,5,"Olympic Stadium, London (GBR)",04 AUG 2012
6472,Sheila BURRELL,15 JAN 1972,USA,3,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001
6470,Erica BOUGARD,26 JUL 1993,USA,4,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019
6466,Yekaterina BOLSHOVA,04 FEB 1988,RUS,3,Cheboksary (RUS),03 JUN 2012
