Mark,Competitor,DOB,Nat,Pos,Venue,Date,WIND
7.52,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Leningrad (URS),11 JUN 1988,1.4
7.49,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"New York, NY (USA)",22 MAY 1994,1.3
7.49,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,Sestriere (ITA),31 JUL 1994,1.7
7.48,Heike DRECHSLER,16 DEC 1964,GDR,1,Neubrandenburg (GDR),09 JUL 1988,1.2
7.48,Heike DRECHSLER,16 DEC 1964,GER,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 1992,0.4
7.45,Heike DRECHSLER,16 DEC 1964,GDR,1,Tallinn (EST),21 JUN 1986,0.9
7.45,Heike DRECHSLER,16 DEC 1964,GDR,1,Dresden (GER),03 JUL 1986,1.1
7.45,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Indianapolis, IN (USA)",13 AUG 1987,0.6
7.45,Galina CHISTYAKOVA,26 JUL 1962,URS,,Leningrad (URS),11 JUN 1988,1.0
7.45,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Budapest (HUN),12 AUG 1988,1.6
7.44,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GDR),22 SEP 1985,2.0
7.43,Anișoara CUȘMIR,28 JUN 1962,ROU,1,Bucureşti (ROU),04 JUN 1983,1.4
7.42,Tatyana KOTOVA,11 DEC 1976,RUS,1,"Parc des Sports, Annecy (FRA)",23 JUN 2002,2.0
7.4,Heike DRECHSLER,16 DEC 1964,GDR,1,Dresden (GER),26 JUL 1984,1.8
7.4,Heike DRECHSLER,16 DEC 1964,GDR,1,Potsdam (GDR),21 AUG 1987,0.7
7.4,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,0.9
7.39,Heike DRECHSLER,16 DEC 1964,GDR,1,"Letzigrund, Zürich (SUI)",21 AUG 1985,0.3
7.39,Yelena BELEVSKAYA,11 OCT 1963,URS,1,Bryansk (URS),18 JUL 1987,0.5
7.39,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"San Diego, CA (USA)",25 JUN 1988,
7.37,Heike DRECHSLER,16 DEC 1964,GER,1,Sestriere (ITA),31 JUL 1991,1.8
7.37,Inessa KRAVETS,05 OCT 1966,UKR,1,Kyiv (UKR),13 JUN 1992,
7.36,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Stadio Olimpico, Roma (ITA)",04 SEP 1987,0.4
7.36,Yelena BELEVSKAYA,11 OCT 1963,URS,2,Leningrad (URS),11 JUN 1988,1.8
7.36,Heike DRECHSLER,16 DEC 1964,GER,1,Jena (GER),28 MAY 1992,1.8
7.35,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Bratislava (TCH),20 JUN 1990,1.9
7.34,Heike DAUTE,16 DEC 1964,GDR,1,Dresden (GER),19 MAY 1984,1.6
7.34,Galina CHISTYAKOVA,26 JUL 1962,URS,2,Tallinn (EST),21 JUN 1986,1.4
7.34,Yelena BELEVSKAYA,11 OCT 1963,URS,1,Sukhumi (URS),17 MAY 1987,
7.34,Heike DRECHSLER,16 DEC 1964,GDR,1f1,Karl Marx Stadt (GDR),20 JUN 1987,0.7
7.33,Heike DRECHSLER,16 DEC 1964,GDR,1,Erfurt (GER),22 JUN 1985,0.4
7.33,Heike DRECHSLER,16 DEC 1964,GDR,1,Dresden (GER),02 AUG 1985,2.0
7.33,Heike DRECHSLER,16 DEC 1964,GER,1,"Stade Louis II, Monaco (MON)",11 AUG 1992,-0.3
7.33,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Tula (RUS),31 JUL 2004,0.4
7.32,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GDR),20 JUL 1984,-0.2
7.32,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"National Stadium, Tokyo (JPN)",25 AUG 1991,0.0
7.31,Yelena KHLOPOTNOVA,04 AUG 1963,URS,1,Almaty (KAZ),12 SEP 1985,1.5
7.31,Heike DRECHSLER,16 DEC 1964,GDR,1,Jena (GDR),31 MAY 1986,1.3
7.31,Yelena BELEVSKAYA,11 OCT 1963,URS,1,Kiev (URS),15 JUL 1986,-0.2
7.31,Yelena BELEVSKAYA,11 OCT 1963,URS,1,Moskva (URS),16 AUG 1987,1.1
7.31,Marion JONES,12 OCT 1975,USA,1,"Eugene, OR (USA)",31 MAY 1998,1.9
7.31,Marion JONES,12 OCT 1975,USA,1,Zürich (SUI),12 AUG 1998,-0.1
7.31,Brittney REESE,09 SEP 1986,USA,1,"Hayward Field, Eugene, OR (USA)",02 JUL 2016,1.7
7.3,Heike DRECHSLER,16 DEC 1964,GDR,1,"Poljud Stadion, Split (CRO)",28 AUG 1990,0.6
7.3,Heike DRECHSLER,16 DEC 1964,GER,1,Dillingen (GER),17 MAY 1992,-0.2
7.3,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,San José (USA),28 MAY 1994,0.7
7.3,Malaika MIHAMBO,03 FEB 1994,GER,1,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019,-0.8
7.29,Heike DAUTE,16 DEC 1964,GDR,1,Jena (GDR),13 MAY 1984,0.0
7.29,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Moskva (URS),06 AUG 1984,0.5
7.29,Heike DRECHSLER,16 DEC 1964,GDR,1,Neubrandenburg (GDR),07 JUN 1985,1.8
7.29,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Sochi (URS),01 JUN 1988,0.9
7.29,Yelena KHLOPOTNOVA,04 AUG 1963,URS,1,Almaty (KAZ),03 JUL 1988,0.0
7.29,Heike DRECHSLER,16 DEC 1964,GER,2,"National Stadium, Tokyo (JPN)",25 AUG 1991,-0.2
7.29,Heike DRECHSLER,16 DEC 1964,GER,2,"Bislett Stadion, Oslo (NOR)",22 JUL 1994,0.9
7.28,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Moskva (URS),18 AUG 1985,0.9
7.27,Anișoara CUȘMIR,28 JUN 1962,ROU,,Bucureşti (ROU),04 JUN 1983,0.6
7.27,Anișoara CUȘMIR-STANCIU,28 JUN 1962,ROU,1,Sofia (BUL),17 JUN 1984,1.0
7.27,Galina CHISTYAKOVA,26 JUL 1962,URS,2,Erfurt (GER),22 JUN 1985,1.3
7.27,Heike DRECHSLER,16 DEC 1964,GDR,1,"Bruce Stadium, Canberra (AUS)",06 OCT 1985,0.7
7.27,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Moskva (URS),07 JUL 1986,0.8
7.27,Heike DRECHSLER,16 DEC 1964,GDR,1,"Neckarstadion, Stuttgart (GER)",27 AUG 1986,0.3
7.27,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Moskva (URS),22 AUG 1987,1.3
7.27,Inessa KRAVETS,05 OCT 1966,URS,1,Kiev (URS),22 MAY 1988,
7.27,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1ce,"Olympic Stadium, Jamsil, Seoul (KOR)",24 SEP 1988,0.7
7.27,Irina MELESHINA,25 MAY 1982,RUS,2,Tula (RUS),31 JUL 2004,-0.4
7.26,Heike DRECHSLER,16 DEC 1964,GDR,1,Praha (TCH),28 JUN 1987,0.3
7.26,Maurren Higa MAGGI,25 JUN 1976,BRA,1,Bogotá (COL),25 JUN 1999,1.8
7.25,Yelena BELEVSKAYA,11 OCT 1963,URS,1,Moskva (URS),07 JUN 1987,2.0
7.25,Heike DRECHSLER,16 DEC 1964,GER,1,Bruxelles (BEL),13 SEP 1991,1.7
7.25,Brittney REESE,09 SEP 1986,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013,1.6
7.24,Jackie JOYNER,03 MAR 1962,USA,2,"Letzigrund, Zürich (SUI)",21 AUG 1985,-0.1
7.24,Larisa BEREZHNAYA,28 FEB 1961,URS,1,Granada (ESP),25 MAY 1991,1.0
7.24,Heike DRECHSLER,16 DEC 1964,GER,1,Sevilla (ESP),30 MAY 1991,1.4
7.23,Heike DRECHSLER,16 DEC 1964,GDR,2,Moskva (URS),18 AUG 1985,0.6
7.23,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GDR),20 AUG 1986,0.2
7.23,Heike DRECHSLER,16 DEC 1964,GDR,1,Bruxelles (BEL),05 SEP 1986,-0.3
7.23,Inessa KRAVETS,05 OCT 1966,URS,1,Tallinn (EST),06 JUL 1988,2.0
7.23,Heike DRECHSLER,16 DEC 1964,GER,1,Alcobendas (ESP),07 JUN 1991,1.9
7.23,Heike DRECHSLER,16 DEC 1964,GER,1,Jena (GER),03 JUN 1994,0.2
7.23,Marion JONES,12 OCT 1975,USA,1,"Stadio Olimpico, Roma (ITA)",14 JUL 1998,-0.3
7.22,Jackie JOYNER-KERSEE,03 MAR 1962,USA,q,"Indianapolis, IN (USA)",22 JUL 1988,1.5
7.22,Heike DRECHSLER,16 DEC 1964,GDR,2,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,0.5
7.22,Inessa KRAVETS,05 OCT 1966,UKR,1,Zürich (SUI),19 AUG 1992,0.0
7.21,Anișoara CUȘMIR,28 JUN 1962,ROU,1,Bucureşti (ROU),15 MAY 1983,0.6
7.21,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Moskva (URS),14 JUL 1984,1.6
7.21,Helga RADTKE,16 MAY 1962,GDR,2,Dresden (GER),26 JUL 1984,1.6
7.21,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GER),08 JUL 1987,0.8
7.21,Yelena BELEVSKAYA,11 OCT 1963,URS,1,Sukhumi (URS),16 MAY 1988,
7.21,Yelena BELEVSKAYA,11 OCT 1963,URS,2,Sochi (URS),01 JUN 1988,2.0
7.21,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Vladivostok (URS),14 SEP 1988,0.1
7.21,Heike DRECHSLER,16 DEC 1964,GER,1,München (GER),21 JUN 1992,1.8
7.21,Heike DRECHSLER,16 DEC 1964,GER,1,Zürich (SUI),04 AUG 1993,-0.4
7.21,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,Paris (FRA),03 SEP 1994,0.7
7.21,Lyudmila KOLCHANOVA,01 OCT 1979,RUS,1,Sochi (RUS),27 MAY 2007,1.9
7.2,Valy IONESCU,31 AUG 1960,ROU,1,Bucureşti (ROU),01 AUG 1982,-0.3
7.2,Galina CHISTYAKOVA,26 JUL 1962,URS,3,"Letzigrund, Zürich (SUI)",21 AUG 1985,0.2
7.2,Irena OZHENKO,13 NOV 1962,URS,1,Budapest (HUN),12 SEP 1986,2.0
7.2,Heike DRECHSLER,16 DEC 1964,GDR,1,Rostock (GER),25 JUN 1988,0.8
7.2,Yelena SINCHUKOVA,23 JAN 1961,URS,1,Budapest (HUN),20 JUN 1991,0.8
7.2,Heike DRECHSLER,16 DEC 1964,GER,1,Rhede (GER),12 JUL 1992,1.3
7.2,Irina MUSHAYILOVA,06 JAN 1967,RUS,1,St. Petersburg (RUS),14 JUL 1994,0.7
7.2,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"Atlanta, GA (USA)",18 MAY 1996,1.0
7.19,Helga RADTKE,16 MAY 1962,GDR,4,"Letzigrund, Zürich (SUI)",21 AUG 1985,-0.1
7.19,Helga RADTKE,16 MAY 1962,GDR,2,Berlin (GDR),22 SEP 1985,1.5
7.19,Larisa BEREZHNAYA,28 FEB 1961,URS,1,Krasnodar (URS),22 JUN 1986,1.3
7.19,Heike DRECHSLER,16 DEC 1964,GDR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990,-0.6
7.19,Heike DRECHSLER,16 DEC 1964,GER,1,Rieti (ITA),06 SEP 1991,0.2
7.19,Brittney REESE,09 SEP 1986,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2011,1.8
7.18,Heike DAUTE,16 DEC 1964,GDR,1,Potsdam (GDR),25 MAY 1984,0.0
7.18,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GER),15 JUL 1984,0.3
7.18,Heike DRECHSLER,16 DEC 1964,GDR,1,Jena (GDR),03 JUN 1988,0.6
7.18,Galina CHISTYAKOVA,26 JUL 1962,URS,1,Praha (TCH),16 JUN 1988,0.4
7.17,Yelena BELEVSKAYA,11 OCT 1963,URS,2,Moskva (URS),07 JUL 1986,1.3
7.17,Helga RADTKE,16 MAY 1962,GDR,1,Rieti (ITA),07 SEP 1986,1.6
7.17,Heike DRECHSLER,16 DEC 1964,GDR,1,Potsdam (GDR),05 JUN 1987,0.0
7.17,Galina CHISTYAKOVA,26 JUL 1962,URS,2f1,Karl Marx Stadt (GDR),20 JUN 1987,1.0
7.17,Irina VALYUKEVICH,19 NOV 1959,URS,2,Bryansk (URS),18 JUL 1987,1.8
7.17,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GER),29 JUN 1988,-0.4
7.17,Heike DRECHSLER,16 DEC 1964,GDR,1,Berlin (GER),13 SEP 1988,2.0
7.17,Heike DRECHSLER,16 DEC 1964,GDR,1,Rieti (ITA),09 SEP 1990,0.9
7.17,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,"New York, NY (USA)",24 MAY 1992,-1.4
7.17,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,San José (USA),30 MAY 1992,1.0
7.17,Inessa KRAVETS,05 OCT 1966,UKR,2,"Stade Louis II, Monaco (MON)",11 AUG 1992,0.4
7.17,Lyudmila KOLCHANOVA,01 OCT 1979,RUS,1,Tula (RUS),02 AUG 2007,-1.3
7.17,Tianna BARTOLETTA,30 AUG 1985,USA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,0.6
7.17,Ese BRUME,20 JAN 1996,NGR,1,"Chula Vista, CA (USA)",29 MAY 2021,1.1
7.16,Yelena BELEVSKAYA,11 OCT 1963,URS,3,Tallinn (EST),21 JUN 1986,2.0
7.16,Helga RADTKE,16 MAY 1962,GDR,2,Dresden (GER),03 JUL 1986,1.8
7.16,Helga RADTKE,16 MAY 1962,GDR,2,Berlin (GER),08 JUL 1987,1.3
7.16,Inessa KRAVETS,05 OCT 1966,URS,1,Kharkov (URS),18 JUN 1988,0.0
7.16,Yolanda CHEN,26 JUL 1961,URS,1,Moskva (URS),30 JUL 1988,
7.16,Yelena SINCHUKOVA,23 JAN 1961,URS,1,Kiev (URS),11 JUL 1991,1.3
7.16,Heike DRECHSLER,16 DEC 1964,GER,1,Bruxelles (BEL),28 AUG 1992,-0.3
7.16,Heike DRECHSLER,16 DEC 1964,GER,1,"Estadio Panamericano, La Habana (CUB)",27 SEP 1992,1.4
7.16,Heike DRECHSLER,16 DEC 1964,GER,1,"Népstadion, Budapest (HUN)",22 AUG 1998,1.0
7.16,Elva GOULBOURNE,21 JAN 1980,JAM,1,Ciudad de México (MEX),22 MAY 2004,-0.1
7.16,Sosthene MOGUENARA-TAROUM,17 OCT 1989,GER,1f1,Weinheim (GER),29 MAY 2016,1.6
7.16,Malaika MIHAMBO,03 FEB 1994,GER,1,Berlin (GER),04 AUG 2019,0.4
7.15,Anișoara CUȘMIR,28 JUN 1962,ROU,2,Bucureşti (ROU),01 AUG 1982,0.3
7.15,Heike DRECHSLER,16 DEC 1964,GDR,1,Praha (TCH),17 AUG 1984,-0.2
7.15,Heike DRECHSLER,16 DEC 1964,GDR,1,Leipzig (GER),11 AUG 1985,
7.15,Galina CHISTYAKOVA,26 JUL 1962,URS,2,Praha (TCH),28 JUN 1987,-0.4
7.15,Helga RADTKE,16 MAY 1962,GDR,1,Rostock (GER),22 JUN 1989,1.0
7.15,Heike DRECHSLER,16 DEC 1964,GER,1,Seoul (KOR),18 AUG 1991,
7.15,Heike DRECHSLER,16 DEC 1964,GER,2,Villeneuve d'Ascq (FRA),06 JUL 1992,1.7
7.15,Heike DRECHSLER,16 DEC 1964,GER,1,Nice (FRA),15 JUL 1992,-0.5
7.15,Heike DRECHSLER,16 DEC 1964,GER,1,Ingolstadt (GER),17 JUL 1994,0.8
7.15,Heike DRECHSLER,16 DEC 1964,GER,1,"Stade Louis II, Monaco (MON)",02 AUG 1994,-0.5
7.15,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,Madrid (ESP),21 JUL 2007,1.0
7.15,Brittney REESE,09 SEP 1986,USA,1,"Hayward Field, Eugene, OR (USA)",01 JUL 2012,1.0
7.15,Brittney REESE,09 SEP 1986,USA,2,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,0.6
7.14,Heike DAUTE,16 DEC 1964,GDR,1,Bratislava (TCH),04 JUN 1983,1.1
7.14,Anișoara CUȘMIR-STANCIU,28 JUN 1962,ROU,1,Bucureşti (ROU),12 JUL 1984,
7.14,Jackie JOYNER-KERSEE,03 MAR 1962,USA,ce,"Stadio Olimpico, Roma (ITA)",01 SEP 1987,0.9
7.14,Yelena BELEVSKAYA,11 OCT 1963,URS,2,"Stadio Olimpico, Roma (ITA)",04 SEP 1987,-0.6
7.14,Nijolé MEDVEDEVA,20 OCT 1960,URS,1,Riga (LAT),04 JUN 1988,1.8
7.14,Mirela DULGHERU-RENDA,05 OCT 1966,ROU,1,Sofia (BUL),05 JUL 1992,1.2
7.14,Heike DRECHSLER,16 DEC 1964,GER,1,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,-0.7
7.14,Heike DRECHSLER,16 DEC 1964,GER,1,Jena (GER),13 JUN 1993,1.6
7.14,Heike DRECHSLER,16 DEC 1964,GER,1,"Olympiastadion, Helsinki (FIN)",12 AUG 1994,0.7
7.14,Tianna BARTOLETTA,30 AUG 1985,USA,1,"National Stadium, Beijing (CHN)",28 AUG 2015,1.2
7.14,Tara DAVIS,20 MAY 1999,USA,1f1,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2021,1.0
7.13,Helga RADTKE,16 MAY 1962,GDR,2,Leipzig (GER),11 AUG 1985,
7.13,Yelena BELEVSKAYA,11 OCT 1963,URS,3f1,Karl Marx Stadt (GDR),20 JUN 1987,0.3
7.13,Heike DRECHSLER,16 DEC 1964,GDR,3,"Stadio Olimpico, Roma (ITA)",04 SEP 1987,-0.7
7.13,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,Lappeenranta (FIN),09 JUL 1991,1.4
7.13,Larisa BEREZHNAYA,28 FEB 1961,URS,1,"Letzigrund, Zürich (SUI)",07 AUG 1991,0.4
7.13,Heike DRECHSLER,16 DEC 1964,GER,1,Linz (AUT),13 AUG 1992,1.2
7.13,Heike DRECHSLER,16 DEC 1964,GER,1,Pretoria (RSA),15 MAY 1993,0.7
7.13,Marion JONES,12 OCT 1975,USA,1,Moskva (RUS),05 SEP 1998,0.7
7.13,Olga KUCHERENKO,05 NOV 1985,RUS,1,Sochi (RUS),27 MAY 2010,2.0
7.13,Brittney REESE,09 SEP 1986,USA,1,"Chula Vista, CA (USA)",17 JUN 2017,2.0
7.13,Brittney REESE,09 SEP 1986,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1.3
7.13,Brooke BUSCHKUEHL,12 JUL 1993,AUS,2,"CVEATC, Chula Vista, CA (USA)",09 JUL 2022,1.8
7.12,Sabine PAETZ,16 OCT 1957,GDR,2,Dresden (GER),19 MAY 1984,1.6
7.12,Yelena KHLOPOTNOVA,04 AUG 1963,URS,1,Tashkent (UZB),20 APR 1985,
7.12,Yelena KHLOPOTNOVA,04 AUG 1963,URS,1,Leningrad (URS),01 AUG 1985,0.6
7.12,Jackie JOYNER,03 MAR 1962,USA,2,Bruxelles (BEL),05 SEP 1986,-0.1
7.12,Jackie JOYNER-KERSEE,03 MAR 1962,USA,1,San José (USA),27 JUN 1987,0.3
